run_id,best_target,type,best_d_total,structure_tier,s2_state,enough_levels_full,enough_levels_partial,reason
562.0,delta_1232,baryon,12.891925147928712,level1,none,0.0,1.0,baryon_to_complex_core
563.0,delta_1232,baryon,19.199999520000013,none,none,0.0,0.0,tier_below_level1;baryon_to_complex_core
564.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
565.0,delta_1232,baryon,11.175176234999356,level1,none,1.0,1.0,baryon_to_complex_core
566.0,delta_1232,baryon,4.553899128651308,level1,none,1.0,1.0,baryon_to_complex_core
567.0,phi,meson,0.9999999500000034,level1,none,1.0,1.0,max_blocks_reached
568.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
569.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
570.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
571.0,phi,meson,0.999999950000009,level1,none,1.0,1.0,max_blocks_reached
572.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
573.0,quark_ud_const,effective_quark,9.597872189743676,level2,none,1.0,1.0,max_blocks_reached
574.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
575.0,delta_1232,baryon,12.89192514792872,level1,none,0.0,1.0,baryon_to_complex_core
576.0,delta_1232,baryon,3.0888082960091614,level1,none,1.0,1.0,baryon_to_complex_core
577.0,delta_1232,baryon,11.175176234999352,level1,none,1.0,1.0,baryon_to_complex_core
578.0,delta_1232,baryon,17.60710967882561,none,none,1.0,1.0,low_Q_lock<0.35;tier_below_level1;baryon_to_complex_core
579.0,delta_1232,baryon,19.199999520000013,none,none,0.0,0.0,tier_below_level1;baryon_to_complex_core
581.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
582.0,delta_1232,baryon,2.851207655183669,level1,none,1.0,1.0,baryon_to_complex_core
583.0,phi,meson,0.9999999500000034,level1,none,1.0,1.0,max_blocks_reached
584.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
585.0,delta_1232,baryon,2.851207655183673,level1,none,1.0,1.0,baryon_to_complex_core
586.0,delta_1232,baryon,20.665918153113413,level1,none,0.0,1.0,baryon_to_complex_core
587.0,delta_1232,baryon,19.586196902393322,level1,none,0.0,1.0,baryon_to_complex_core
588.0,delta_1232,baryon,19.199999520000006,level1,none,0.0,0.0,baryon_to_complex_core
589.0,delta_1232,baryon,13.029951381000494,level1,none,0.0,1.0,baryon_to_complex_core
590.0,phi,meson,0.9999999500000034,level1,none,1.0,1.0,max_blocks_reached
591.0,delta_1232,baryon,6.347161678287235,level1,none,1.0,1.0,baryon_to_complex_core
592.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
593.0,delta_1232,baryon,4.553899128651303,level1,none,1.0,1.0,baryon_to_complex_core
594.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
595.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
596.0,delta_1232,baryon,7.741921439115177,level1,none,1.0,1.0,baryon_to_complex_core
597.0,delta_1232,baryon,19.199999520000006,level1,none,0.0,0.0,baryon_to_complex_core
598.0,delta_1232,baryon,11.33913015834397,level1,none,0.0,1.0,baryon_to_complex_core
599.0,delta_1232,baryon,19.199999520000013,level1,none,0.0,0.0,baryon_to_complex_core
600.0,delta_1232,baryon,4.553899128651315,level1,none,1.0,1.0,baryon_to_complex_core
601.0,phi,meson,0.9999999500000034,level1,none,1.0,1.0,max_blocks_reached
602.0,phi,meson,0.9999999500000034,level1,none,1.0,1.0,max_blocks_reached
603.0,delta_1232,baryon,18.453780906007665,none,structural,1.0,1.0,low_Q_lock<0.35;tier_below_level1;baryon_to_complex_core
604.0,phi,meson,0.9999999500000034,level1,none,1.0,1.0,max_blocks_reached
605.0,quark_s_const,effective_quark,19.9999996983871,none,none,1.0,1.0,tier_below_level1
606.0,delta_1232,baryon,2.8512076551836736,level1,none,1.0,1.0,baryon_to_complex_core
607.0,delta_1232,baryon,2.851207655183675,level1,none,1.0,1.0,baryon_to_complex_core
608.0,delta_1232,baryon,19.199999520000013,none,none,0.0,0.0,tier_below_level1;baryon_to_complex_core
609.0,delta_1232,baryon,19.199999520000013,none,structural,0.0,0.0,low_Q_lock<0.35;tier_below_level1;baryon_to_complex_core
610.0,delta_1232,baryon,13.320960482426957,level1,none,1.0,1.0,baryon_to_complex_core
611.0,delta_1232,baryon,3.0888082960091667,level1,none,1.0,1.0,baryon_to_complex_core
612.0,delta_1232,baryon,8.857729247777542,level1,none,1.0,1.0,baryon_to_complex_core
613.0,delta_1232,baryon,11.339130158343966,level1,none,0.0,1.0,baryon_to_complex_core
614.0,delta_1232,baryon,3.0888082960091623,level1,none,1.0,1.0,baryon_to_complex_core
615.0,quark_ud_const,effective_quark,11.332950298522372,level3,structural,1.0,1.0,max_blocks_reached
616.0,quark_ud_const,effective_quark,7.120212657912631,none,none,1.0,1.0,low_Q_lock<0.35;tier_below_level1
617.0,delta_1232,baryon,11.21835720931256,level1,none,0.0,1.0,baryon_to_complex_core
618.0,delta_1232,baryon,6.347161678287236,level1,none,1.0,1.0,baryon_to_complex_core
619.0,delta_1232,baryon,19.199999520000013,none,latent,0.0,0.0,tier_below_level1;baryon_to_complex_core
620.0,delta_1232,baryon,11.726949327195022,level1,none,1.0,1.0,baryon_to_complex_core
621.0,delta_1232,baryon,19.199999520000013,level2,none,0.0,0.0,baryon_to_complex_core
622.0,delta_1232,baryon,22.311298678547054,none,structural,0.0,1.0,low_Q_lock<0.35;tier_below_level1;baryon_to_complex_core
623.0,delta_1232,baryon,13.029951381000494,level1,none,0.0,1.0,baryon_to_complex_core
624.0,delta_1232,baryon,19.199999520000006,level1,none,0.0,0.0,baryon_to_complex_core
625.0,delta_1232,baryon,14.14710110189083,level1,none,0.0,1.0,baryon_to_complex_core
626.0,delta_1232,baryon,4.553899128651303,level1,none,1.0,1.0,baryon_to_complex_core
