run_id,best_target,best_family,best_d_total,best_score_used,score_mode,second_best_target,second_best_family,second_best_d_total,second_best_score_used,delta_margin
0.0,delta_1950,delta_like,0.013004733539902554,0.013004733539902554,total,delta_1930,delta_like,0.4837440706564021,0.4837440706564021,0.47073933711649957
1.0,meson_ds_star,charmed_meson,3.999352126147108,3.999352126147108,total,delta_1950,delta_like,4.679766751804669,4.679766751804669,0.6804146256575612
2.0,delta_1950,delta_like,0.064943499301131,0.064943499301131,total,delta_1930,delta_like,0.4188206137794839,0.4188206137794839,0.3538771144783529
3.0,delta_1600,delta_like,0.05654679143453054,0.05654679143453054,total,delta_1620,delta_like,0.1793165077585458,0.1793165077585458,0.12276971632401526
4.0,sigma_1775,strange_baryon,0.8295027607624332,0.8295027607624332,total,delta_1700,delta_like,1.3522513738468585,1.3522513738468585,0.5227486130844252
5.0,delta_1600,delta_like,0.46698209193018064,0.46698209193018064,total,delta_1620,delta_like,0.833727610328407,0.833727610328407,0.3667455183982264
6.0,delta_1600,delta_like,0.4782340191176614,0.4782340191176614,total,delta_1620,delta_like,0.8477925192775957,0.8477925192775957,0.3695585001599343
7.0,meson_ds_star,charmed_meson,0.595970715223863,0.595970715223863,total,delta_1950,delta_like,3.0254504700909886,3.0254504700909886,2.4294797548671254
8.0,meson_d_star_zero,charmed_meson,1.978540014715335,1.978540014715335,total,meson_d_star_plus,charmed_meson,2.254248006630095,2.254248006630095,0.27570799191476025
9.0,meson_ds,charmed_meson,0.6340619025312729,0.6340619025312729,total,meson_d_star_zero,charmed_meson,0.6659380541354001,0.6659380541354001,0.031876151604127156
10.0,chi_c0_3915,charmonium,1.8618101186063305,1.8618101186063305,total,psi_4040,charmonium,2.1715230802825483,2.1715230802825483,0.30971296167621776
11.0,triton,nucleus,0.19337350906506798,0.19337350906506798,total,lambda_c_2765,charmed_baryon,1.904339657783012,1.904339657783012,1.7109661487179442
12.0,lambda_c,charmed_baryon,4.965441340970592,4.965441340970592,total,delta_1900,delta_like,5.191972828800451,5.191972828800451,0.22653148782985877
13.0,meson_d_star_zero,charmed_meson,1.064814263506182,1.064814263506182,total,meson_d_star_plus,charmed_meson,1.1577771124889173,1.1577771124889173,0.09296284898273544
14.0,eta_c,charmonium,1.888356064721466,1.888356064721466,total,j_psi,charmonium,3.3930136087397282,3.3930136087397282,1.5046575440182621
15.0,lambda_c,charmed_baryon,1.418989370067377,1.418989370067377,total,meson_ds0_2317,charmed_meson,3.5523225611784994,3.5523225611784994,2.1333331911111224
16.0,delta_1600,delta_like,0.7258567708414325,0.7258567708414325,total,delta_1620,delta_like,1.1573209581584885,1.1573209581584885,0.43146418731705594
17.0,meson_d_star_zero,charmed_meson,0.042414001252861176,0.042414001252861176,total,meson_d_star_plus,charmed_meson,0.06910319403586557,0.06910319403586557,0.02668919278300439
18.0,meson_d_star_zero,charmed_meson,0.01831881838937252,0.01831881838937252,total,meson_d_star_plus,charmed_meson,0.09801741327929049,0.09801741327929049,0.07969859488991797
19.0,xi_c_plus,charmed_baryon,0.9141643142334205,0.9141643142334205,total,meson_ds1_2460,charmed_meson,1.2341643014334212,1.2341643014334212,0.31999998720000067
20.0,meson_ds1_2460,charmed_meson,3.348763302449463,3.348763302449463,total,xi_c_plus,charmed_baryon,3.6687632896494637,3.6687632896494637,0.31999998720000056
21.0,omega_baryon,strange_baryon,0.05782239407258629,0.05782239407258629,total,meson_phi_1680,meson,0.32448905185036464,0.32448905185036464,0.26666665777777837
22.0,meson_ds1_2460,charmed_meson,2.485159002993641,2.485159002993641,total,xi_c_plus,charmed_baryon,2.8051589901936413,2.8051589901936413,0.31999998720000056
23.0,sigma_1775,strange_baryon,0.7804921159877021,0.7804921159877021,total,delta_1700,delta_like,1.3277460511531762,1.3277460511531762,0.5472539351654742
24.0,meson_d_star_zero,charmed_meson,0.00012977066233129216,0.00012977066233129216,total,meson_d_star_plus,charmed_meson,0.11984427040622758,0.11984427040622758,0.1197144997438963
25.0,meson_d_star_zero,charmed_meson,0.004999999833336489,0.004999999833336489,total,meson_d_star_plus,charmed_meson,0.12599999495999076,0.12599999495999076,0.12099999512665427
26.0,meson_ds_star,charmed_meson,0.8013592404800427,0.8013592404800427,total,delta_1950,delta_like,2.9515105983697905,2.9515105983697905,2.1501513578897478
27.0,delta_1950,delta_like,0.06659542246809148,0.06659542246809148,total,delta_1930,delta_like,0.41675570983110777,0.41675570983110777,0.3501602873630163
28.0,delta_1930,delta_like,0.07143484696412489,0.07143484696412489,total,delta_1920,delta_like,0.17856514678587548,0.17856514678587548,0.1071302998217506
29.0,eta_c,charmonium,1.0903332906555496,1.0903332906555496,total,j_psi,charmonium,2.9141999379159964,2.9141999379159964,1.8238666472604468
30.0,xi_c_plus,charmed_baryon,0.0033060350677599866,0.0033060350677599866,total,meson_ds1_2460,charmed_meson,0.3166939521322408,0.3166939521322408,0.31338791706448077
31.0,deuteron,nucleus,0.11377946174803305,0.11377946174803305,total,meson_d_plus,charmed_meson,0.36533458373326005,0.36533458373326005,0.251555121985227
32.0,psi_3770,charmonium,0.8585982560560731,0.8585982560560731,total,alpha,nucleus,2.2688318330389485,2.2688318330389485,1.4102335769828755
33.0,meson_d_star_zero,charmed_meson,1.7172586517580437,1.7172586517580437,total,meson_d_star_plus,charmed_meson,1.9407103731715967,1.9407103731715967,0.22345172141355296
34.0,meson_ds_star,charmed_meson,0.554625833076334,0.554625833076334,total,delta_1950,delta_like,3.439665242206695,3.439665242206695,2.885039409130361
35.0,meson_d_star_plus,charmed_meson,0.33214898671404874,0.33214898671404874,total,meson_d_star_zero,charmed_meson,0.3767908207736352,0.3767908207736352,0.04464183405958644
36.0,meson_d_star_zero,charmed_meson,0.18619779846007242,0.18619779846007242,total,meson_d_star_plus,charmed_meson,0.3434373518624915,0.3434373518624915,0.1572395534024191
37.0,delta_1600,delta_like,0.5939333020606679,0.5939333020606679,total,delta_1620,delta_like,0.9924166225947936,0.9924166225947936,0.3984833205341257
38.0,lambda_c_2765,charmed_baryon,2.8457960227102017,2.8457960227102017,total,triton,nucleus,3.993482091460723,3.993482091460723,1.1476860687505215
39.0,meson_ds1_2460,charmed_meson,0.581160738353563,0.581160738353563,total,xi_c_plus,charmed_baryon,0.9011607255535637,0.9011607255535637,0.3199999872000008
40.0,meson_d_star_zero,charmed_meson,1.6435563228814556,1.6435563228814556,total,meson_d_star_plus,charmed_meson,1.8522675791093095,1.8522675791093095,0.20871125622785391
41.0,lambda_c_2625,charmed_baryon,0.9768108055315146,0.9768108055315146,total,meson_ds1_2536,charmed_meson,4.35695649165218,4.35695649165218,3.380145686120665
42.0,lambda_c_2860,charmed_baryon,2.2801650114917495,2.2801650114917495,total,eta_c,charmonium,2.746556491448121,2.746556491448121,0.4663914799563713
43.0,meson_d_star_zero,charmed_meson,1.2085348707154966,1.2085348707154966,total,meson_d_star_plus,charmed_meson,1.3302418399903302,1.3302418399903302,0.1217069692748336
44.0,lambda_c,charmed_baryon,4.590471445968573,4.590471445968573,total,delta_1900,delta_like,5.28571530723808,5.28571530723808,0.6952438612695069
45.0,delta_1950,delta_like,0.04746652845066705,0.04746652845066705,total,delta_1930,delta_like,0.4406668272333327,0.4406668272333327,0.39320029878266566
46.0,eta_c,charmonium,2.5537034605432223,2.5537034605432223,total,lambda_c_2860,charmed_baryon,2.569444553027772,2.569444553027772,0.01574109248454958
47.0,delta_1920,delta_like,0.030469673988258103,0.030469673988258103,total,delta_1910,delta_like,0.17562425668751508,0.17562425668751508,0.14515458269925696
48.0,meson_ds0_2317,charmed_meson,1.2102375993174934,1.2102375993174934,total,lambda_c,charmed_baryon,3.343570790428616,3.343570790428616,2.133333191111123
49.0,,,inf,inf,total,,,inf,inf,
50.0,meson_ds_star,charmed_meson,2.0093072694829277,2.0093072694829277,total,delta_1950,delta_like,3.9633505779329905,3.9633505779329905,1.9540433084500628
51.0,delta_1950,delta_like,0.09096020718079531,0.09096020718079531,total,meson_ds,charmed_meson,0.4483996367200136,0.4483996367200136,0.35743942953921826
52.0,meson_ds1_2460,charmed_meson,1.7353729885850808,1.7353729885850808,total,xi_c_plus,charmed_baryon,2.0553729757850814,2.0553729757850814,0.31999998720000056
53.0,triton,nucleus,1.0245638778174326,1.0245638778174326,total,lambda_c_2860,charmed_baryon,1.0732383988380827,1.0732383988380827,0.04867452102065006
54.0,eta_c,charmonium,2.042833356905556,2.042833356905556,total,lambda_c_2860,charmed_baryon,3.335749695712519,3.335749695712519,1.2929163388069629
55.0,lambda_c_2860,charmed_baryon,0.4043276772836005,0.4043276772836005,total,triton,nucleus,1.559692460412304,1.559692460412304,1.1553647831287035
56.0,delta_1920,delta_like,0.06654365583640419,0.06654365583640419,total,delta_1910,delta_like,0.1467650710647023,0.1467650710647023,0.0802214152282981
57.0,meson_d_star_zero,charmed_meson,1.5958393311386827,1.5958393311386827,total,meson_d_star_plus,charmed_meson,1.795007189399718,1.795007189399718,0.19916785826103522
58.0,xi_c_2645,charmed_baryon,4.332614773477049,4.332614773477049,total,lambda_c_2765,charmed_baryon,4.916845844157712,4.916845844157712,0.584231070680663
59.0,meson_d_star_plus,charmed_meson,0.016386163744564176,0.016386163744564176,total,meson_d_star_zero,charmed_meson,0.1136551332114935,0.1136551332114935,0.09726896946692931
60.0,meson_ds1_2460,charmed_meson,2.3929693142812196,2.3929693142812196,total,xi_c_plus,charmed_baryon,2.71296930148122,2.71296930148122,0.31999998720000056
61.0,delta_1620,delta_like,0.1118697189766276,0.1118697189766276,total,delta_1600,delta_like,0.2894957734050417,0.2894957734050417,0.17762605442841406
62.0,delta_1600,delta_like,0.27660902073391047,0.27660902073391047,total,delta_1620,delta_like,0.5957612719279852,0.5957612719279852,0.31915225119407475
63.0,meson_ds0_2317,charmed_meson,2.100564609295693,2.100564609295693,total,lambda_c,charmed_baryon,4.233897800406815,4.233897800406815,2.1333331911111224
64.0,meson_d_star_zero,charmed_meson,1.5558694024710191,1.5558694024710191,total,meson_d_star_plus,charmed_meson,1.7470432753182812,1.7470432753182812,0.19117387284726206
65.0,delta_1700,delta_like,0.1417090757286384,0.1417090757286384,total,rho_1700,rho_like,0.17326547253468796,0.17326547253468796,0.031556396806049575
66.0,delta_1950,delta_like,0.1532249689355018,0.1532249689355018,total,delta_1930,delta_like,0.30846877728827954,0.30846877728827954,0.15524380835277773
67.0,lambda_c,charmed_baryon,3.9258600442760074,3.9258600442760074,total,delta_1900,delta_like,5.451868165968864,5.451868165968864,1.5260081216928563
68.0,triton,nucleus,0.8529258874829652,0.8529258874829652,total,lambda_c_2765,charmed_baryon,1.079899193005045,1.079899193005045,0.22697330552207984
69.0,xi_c_2645,charmed_baryon,4.603610893277818,4.603610893277818,total,lambda_c_2765,charmed_baryon,4.849096804045166,4.849096804045166,0.24548591076734816
70.0,meson_d_star_plus,charmed_meson,0.40062670637494435,0.40062670637494435,total,meson_d_star_zero,charmed_meson,0.4338555875381466,0.4338555875381466,0.03322888116320227
71.0,delta_1920,delta_like,0.017323988816895734,0.017323988816895734,total,delta_1910,delta_like,0.1861408048771877,0.1861408048771877,0.16881681606029197
72.0,delta_1950,delta_like,0.08717214205655553,0.08717214205655553,total,delta_1930,delta_like,0.3910348104741322,0.3910348104741322,0.30386266841757664
73.0,delta_1900,delta_like,0.015935342901076663,0.015935342901076663,total,delta_1910,delta_like,0.21912240741755087,0.21912240741755087,0.20318706451647423
74.0,,,inf,inf,total,,,inf,inf,
75.0,delta_1910,delta_like,0.08771471504570823,0.08771471504570823,total,delta_1920,delta_like,0.14035660049108203,0.14035660049108203,0.05264188544537381
76.0,delta_1600,delta_like,0.7611712429882888,0.7611712429882888,total,delta_1620,delta_like,1.2014640482317012,1.2014640482317012,0.4402928052434124
77.0,delta_1930,delta_like,0.03186909320327593,0.03186909320327593,total,delta_1920,delta_like,0.2818690869532763,0.2818690869532763,0.24999999375000034
78.0,delta_1950,delta_like,0.08271416854571667,0.08271416854571667,total,meson_ds,charmed_meson,0.46214303426189934,0.46214303426189934,0.3794288657161827
79.0,meson_d_star_zero,charmed_meson,1.508363844054529,1.508363844054529,total,meson_d_star_plus,charmed_meson,1.6900366055985374,1.6900366055985374,0.18167276154400835
80.0,lambda_c_2765,charmed_baryon,0.5050485767475734,0.5050485767475734,total,triton,nucleus,1.3128063850877472,1.3128063850877472,0.8077578083401737
81.0,meson_ds1_2460,charmed_meson,0.16729786690807724,0.16729786690807724,total,xi_c_plus,charmed_baryon,0.487297854108078,0.487297854108078,0.3199999872000008
82.0,meson_ds,charmed_meson,0.08356043354798198,0.08356043354798198,total,delta_1950,delta_like,0.3098637320027278,0.3098637320027278,0.22630329845474584
83.0,delta_1950,delta_like,0.1642759365144817,0.1642759365144817,total,meson_ds,charmed_meson,0.3262067561264413,0.3262067561264413,0.1619308196119596
84.0,delta_1930,delta_like,0.10602657334933686,0.10602657334933686,total,delta_1950,delta_like,0.31517873289642473,0.31517873289642473,0.20915215954708788
85.0,lambda_c_2860,charmed_baryon,0.5124178573790897,0.5124178573790897,total,triton,nucleus,1.4732203154711911,1.4732203154711911,0.9608024580921014
86.0,delta_1600,delta_like,0.842240878777592,0.842240878777592,total,delta_1620,delta_like,1.3028010927149876,1.3028010927149876,0.46056021393739555
87.0,delta_1920,delta_like,0.08004017799899724,0.08004017799899724,total,delta_1930,delta_like,0.16995981575100313,0.16995981575100313,0.0899196377520059
88.0,delta_1900,delta_like,0.0098782616686953,0.0098782616686953,total,delta_1910,delta_like,0.21185390996292155,0.21185390996292155,0.20197564829422626
89.0,eta_c,charmonium,0.12852545838248017,0.12852545838248017,total,j_psi,charmonium,2.3371152308576923,2.3371152308576923,2.208589772475212
90.0,delta_1950,delta_like,0.03761598684767733,0.03761598684767733,total,delta_1930,delta_like,0.452980004175504,0.452980004175504,0.4153640173278267
91.0,meson_ds1_2536,charmed_meson,1.2725960858701895,1.2725960858701895,total,xi_c_plus,charmed_baryon,3.6980767716769307,3.6980767716769307,2.4254806858067415
92.0,omega_baryon,strange_baryon,0.11294553790181715,0.11294553790181715,total,meson_phi_1680,meson,0.15372111987596118,0.15372111987596118,0.040775581974144035
93.0,delta_1910,delta_like,0.04584751468305348,0.04584751468305348,total,delta_1920,delta_like,0.19269060068273047,0.19269060068273047,0.146843085999677
94.0,delta_1900,delta_like,0.15423669842938734,0.15423669842938734,total,delta_1910,delta_like,0.38508403349831827,0.38508403349831827,0.23084733506893093
95.0,meson_d_star_zero,charmed_meson,1.8719272339357604,1.8719272339357604,total,meson_d_star_plus,charmed_meson,2.126312670547508,2.126312670547508,0.25438543661174773
96.0,meson_d_star_plus,charmed_meson,0.3581523552739191,0.3581523552739191,total,meson_d_star_zero,charmed_meson,0.39846029471799027,0.39846029471799027,0.040307939444071184
97.0,meson_ds_star,charmed_meson,2.999604705021948,2.999604705021948,total,delta_1950,delta_like,4.319857667402845,4.319857667402845,1.3202529623808967
98.0,lambda_c_2765,charmed_baryon,3.717658230617091,3.717658230617091,total,triton,nucleus,4.690971864761131,4.690971864761131,0.9733136341440405
99.0,lambda_c,charmed_baryon,2.6256410102906083,2.6256410102906083,total,meson_ds0_2317,charmed_meson,4.758974201401731,4.758974201401731,2.133333191111123
100.0,meson_ds,charmed_meson,0.5747639648412053,0.5747639648412053,total,delta_1950,delta_like,0.7048583763028352,0.7048583763028352,0.13009441146162992
101.0,meson_ds,charmed_meson,0.06648707178376696,0.06648707178376696,total,delta_1950,delta_like,0.3998922364021572,0.3998922364021572,0.33340516461839026
102.0,delta_1950,delta_like,0.14418091591638263,0.14418091591638263,total,delta_1930,delta_like,0.3197738435056532,0.3197738435056532,0.17559292758927056
103.0,meson_ds_star,charmed_meson,2.1480568484413016,2.1480568484413016,total,meson_d_star_zero,charmed_meson,2.211165745627799,2.211165745627799,0.06310889718649726
104.0,meson_d_star_zero,charmed_meson,1.1970085184330432,1.1970085184330432,total,meson_d_star_plus,charmed_meson,1.316410217343597,1.316410217343597,0.11940169891055374
105.0,eta_c,charmonium,1.9331601412279944,1.9331601412279944,total,j_psi,charmonium,3.419896055002078,3.419896055002078,1.4867359137740837
106.0,meson_d_star_zero,charmed_meson,1.1425107049163123,1.1425107049163123,total,meson_d_star_plus,charmed_meson,1.2510128415595025,1.2510128415595025,0.1085021366431902
107.0,meson_d_star_plus,charmed_meson,0.4299054976037887,0.4299054976037887,total,meson_d_star_zero,charmed_meson,0.4582545803915102,0.4582545803915102,0.02834908278772147
108.0,lambda_c_2765,charmed_baryon,1.416477723676118,1.416477723676118,total,triton,nucleus,2.8500274407989097,2.8500274407989097,1.4335497171227918
109.0,xi_c_plus,charmed_baryon,0.19630086174796013,0.19630086174796013,total,meson_ds1_2460,charmed_meson,0.5163008489479609,0.5163008489479609,0.3199999872000008
