run_id,dof_grade,dof_family_id,dof_family_friendly,omega_ref_proxy,genes_min,R_S1_Q,R_S2_S1,dominant_parity,lock_Q0_S1_0_1-1_ratio,band_count,rho_lock,lock_quality_Q,participation_entropy,dna_cluster_id
0,B,F7BDC,LOCKED_lowEnt_maxBands_S1Q_bin7_S2S1_bin3,6.148122094073261,"{""lock_quality_S1"":0.00027865835115501293,""omega_eff"":null,""omega_ref_proxy"":6.148122094073261,""participation_entropy"":0.004881478874489564,""rho_lock"":0.11106278245728635,""structure_tier"":""level1""}",5.662711178644751,5.809106220501207,,0.6030530785431663,29,0.11106278245728635,0.9994715245262064,0.004881478874489564,
1,A,FCF8D,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,9.605660385590838,"{""lock_quality_S1"":0.0003571367860585362,""omega_eff"":null,""omega_ref_proxy"":9.605660385590838,""participation_entropy"":0.005523440728558385,""rho_lock"":0.4272014186023219,""structure_tier"":""level1""}",8.06998003734204,2.4229239895937384,,0.6582642569016154,16,0.4272014186023219,0.9993918692610073,0.005523440728558385,
10,A,FBC64,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,6.324821349965862,"{""lock_quality_S1"":2.983287582410164e-05,""omega_eff"":null,""omega_ref_proxy"":6.324821349965862,""participation_entropy"":0.002663884912715697,""rho_lock"":0.54297376798923,""structure_tier"":""level1""}",6.319123976600954,7.600654968806648,,0.6377233508255381,20,0.54297376798923,0.9997202004966501,0.002663884912715697,
100,C,F9C79,REJECTED,8.493416241734867,"{""lock_quality_S1"":0.9974411144547051,""omega_eff"":null,""omega_ref_proxy"":8.493416241734867,""participation_entropy"":0.018621900772244918,""rho_lock"":0.11563143217391161,""structure_tier"":""none""}",5.911860976360949,3.6524199586658987,,0.6235768733890685,30,0.11563143217391161,0.000239124624392133,0.018621900772244918,
101,C,F812C,REJECTED,8.837178635560859,"{""lock_quality_S1"":0.9980973231344347,""omega_eff"":null,""omega_ref_proxy"":8.837178635560859,""participation_entropy"":0.014330054046744515,""rho_lock"":0.48164409972518724,""structure_tier"":""none""}",5.975733185129803,5.775136004245281,,0.6470784010801085,12,0.48164409972518724,0.00014391221684229214,0.014330054046744515,
102,A,FDDA9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,11.80466845669397,"{""lock_quality_S1"":0.0002271984943168807,""omega_eff"":null,""omega_ref_proxy"":11.80466845669397,""participation_entropy"":0.0038113930488771677,""rho_lock"":0.4114734841120281,""structure_tier"":""level1""}",8.581695579012292,6.238530040763365,,0.647031286854556,11,0.4114734841120281,0.9995990408924762,0.0038113930488771677,
103,A,FE206,LOCKED_lowEnt_midBands_S1Q_bin5_S2S1_bin3,7.540366159762207,"{""lock_quality_S1"":8.312605472815354e-05,""omega_eff"":null,""omega_ref_proxy"":7.540366159762207,""participation_entropy"":0.0028630100021348245,""rho_lock"":0.3717224598405663,""structure_tier"":""level1""}",4.20282504298432,5.893916772379306,,0.6587916551435551,11,0.3717224598405663,0.9997056240748456,0.0028630100021348245,
104,A,F667F,LOCKED_lowEnt_midBands_S1Q_bin7_S2S1_bin3,8.874815648627962,"{""lock_quality_S1"":0.00027215156937557755,""omega_eff"":null,""omega_ref_proxy"":8.874815648627962,""participation_entropy"":0.002945201600353423,""rho_lock"":0.44153896595210657,""structure_tier"":""level1""}",5.175454222866795,5.086271362546996,,0.6299971089107315,11,0.44153896595210657,0.9996884503645809,0.002945201600353423,
105,A,FDDA9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,9.126748044231219,"{""lock_quality_S1"":0.00027599532523282295,""omega_eff"":null,""omega_ref_proxy"":9.126748044231219,""participation_entropy"":0.007234730598700988,""rho_lock"":0.4739644678375544,""structure_tier"":""level1""}",6.6613212548029415,4.507377432082104,,0.6282634461479752,11,0.4739644678375544,0.9991714476268232,0.007234730598700988,
106,B,F50D1,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,6.353059089029682,"{""lock_quality_S1"":0.0002708219431367366,""omega_eff"":null,""omega_ref_proxy"":6.353059089029682,""participation_entropy"":0.006641408999942654,""rho_lock"":0.12405613067788836,""structure_tier"":""level1""}",7.317579221434886,8.794603607482674,,0.6505023244790376,24,0.12405613067788836,0.9992494009866176,0.006641408999942654,
