family,runs_valid,runs_with_s2,band_count_mean,band_count_std,spacing_mean,spacing_std,runs_family_match_total,runs_family_match_with_s2,runs_family_match_without_s2,runs_off_family_with_s2,d_total_mean,d_total_std,d_total_min,d_total_max
Nucleon_like,100,25,4.43,1.3874797295816612,0.3306693730321778,0.3364218766810363,0,0,0,24,313131316.406429,463767281.9603491,1.8650371944739608,1000000000.0
Rho_like,100,25,4.43,1.3874797295816612,0.3306693730321778,0.3364218766810363,2,0,2,24,4.693948806346305,2.0065591830135485,0.7671957671957679,9.652671104284007
Pion_like,100,7,3.97,1.0995908329919817,0.49338025870283936,0.3452667976072342,12,0,12,7,2.991394458870171,1.2546190580406449,0.16795865633074902,4.7389919870540025
