run_id,accepted,reasons,band_count,lock_quality_Q,structure_tier,d_total_best,selection_config_path,selection_config_hash
114,1,,2.0,0.9992500804997773,level1,0.0698739395021029,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
124,1,,1.0,0.9997535452428001,level1,0.8731199551718293,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
71,0,dof_grade_not_a;policy_rejected,1.0,0.0003291876290300094,none,0.03618545859536239,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
39,1,,1.0,0.9992713064717684,level1,0.18791084841781702,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
86,0,policy_rejected,1.0,0.9992462441135292,level1,0.4975746976828355,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
55,0,dof_grade_not_a,1.0,0.9986104447133631,level1,0.39710509011580497,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
8,0,dof_grade_not_a,1.0,0.9998458660863924,level1,0.3020935739401732,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
20,0,dof_grade_not_a;policy_rejected,1.0,0.0005983081709339791,none,3.746881633031183,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
22,0,policy_rejected,1.0,0.999336223127857,level1,3.529614891703851,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
2,0,dof_grade_not_a,2.0,0.999680283441712,level1,0.1813361639732781,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
32,0,policy_rejected,2.0,0.9997396849831061,level1,1.818911040443564,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
16,0,policy_rejected,1.0,0.9996377872591263,level1,0.41949450840337105,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
