run_id,target_name,family,type,jpc,d_total,d_spacing,d_mass,score_used,score_mode,enough_levels_full,enough_levels_partial,n_levels_sim,policy_status,policy_reason,policy_rejected,policy_preferred_parity,policy_allowed_k,run_dominant_parity,run_k_used,run_sector_confidence
0.0,j_psi,charmonium,meson,1-,15.137597486432034,nan,15.137597486432034,15.137597486432034,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,lambda_c,charmed_baryon,baryon,1/2+,16.23899051905047,nan,16.23899051905047,16.23899051905047,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,meson_d0,charmed_meson,meson,0-,4.842008426899576,nan,4.842008426899576,4.842008426899576,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,meson_d_plus,charmed_meson,meson,0-,2.5466714120369027,nan,2.5466714120369027,2.5466714120369027,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,meson_ds,charmed_meson,meson,0-,0.21066088031130295,nan,0.21066088031130295,0.21066088031130295,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,meson_ds0_2317,charmed_meson,meson,0+,88.82993444751642,nan,88.82993444751642,88.82993444751642,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,meson_ds1_2460,charmed_meson,meson,1+,99.6639453912109,nan,99.6639453912109,99.6639453912109,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,meson_ds1_2536,charmed_meson,meson,1+,28.665989897700513,nan,28.665989897700513,28.665989897700513,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,meson_ds_star_2180_DOF,charmed_meson,meson,1-,20.43198061880193,nan,20.43198061880193,20.43198061880193,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,omega_baryon,strange_baryon,baryon,3/2+,8.046671259259135,nan,8.046671259259135,8.046671259259135,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,xi_minus,strange_baryon,baryon,1/2+,32.03400706729965,nan,32.03400706729965,32.03400706729965,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,xi_zero,strange_baryon,baryon,1/2+,32.38400704979964,nan,32.38400704979964,32.38400704979964,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,sigma_star_1385,strange_baryon,baryon,3/2+,28.984007219799643,nan,28.984007219799643,28.984007219799643,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,meson_phi_1680,meson,vector,1-,7.042004158449898,nan,7.042004158449898,7.042004158449898,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,meson_d_star_zero,charmed_meson,meson,1-,1.5904867968138459,nan,1.5904867968138459,1.5904867968138459,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,meson_d_star_plus,charmed_meson,meson,1-,2.4159912102004286,nan,2.4159912102004286,2.4159912102004286,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,meson_ds_star,charmed_meson,meson,1-,5.0106607203113125,nan,5.0106607203113125,5.0106607203113125,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,meson_ds_star_2090_DOF,charmed_meson,meson,1-,3.666280655820548,nan,3.666280655820548,3.666280655820548,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,xi_c_plus,charmed_baryon,baryon,1/2+,42.16914870423759,nan,42.16914870423759,42.16914870423759,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,rho_1700,rho_like,meson,1-,9.66720654851174,nan,9.66720654851174,9.66720654851174,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,nucleon_1720,nucleon_like,baryon,3/2+,6.0420041834498965,nan,6.0420041834498965,6.0420041834498965,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,sigma_1775,strange_baryon,baryon,5/2-,6.222672238577595,nan,6.222672238577595,6.222672238577595,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,chi_c0,charmonium,meson,0+,145.30296813170318,nan,145.30296813170318,145.30296813170318,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,chi_c1,charmonium,meson,1+,309.86390335121934,nan,309.86390335121934,309.86390335121934,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,chi_c2,charmonium,meson,2+,106.28798135546792,nan,106.28798135546792,106.28798135546792,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,psi_2s,charmonium,meson,1-,68.97279030588838,nan,68.97279030588838,68.97279030588838,total,1,1,1,pass,,0,even,"[1, 2, 4]",even,2,1.0
0.0,sigma_c_2455,charmed_baryon,baryon,1/2+,164.10655417114867,nan,164.10655417114867,164.10655417114867,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
0.0,sigma_c_2520,charmed_baryon,baryon,3/2+,145.7119583528905,nan,145.7119583528905,145.7119583528905,total,1,1,1,reject,parity_mismatch|k_mismatch,1,odd,"[1, 3, 5]",even,2,1.0
