run_id,dof_grade,dof_family_id,dof_family_friendly,R_S1_Q,R_S2_S1,dominant_parity,lock_Q0_S1_0_1-1_ratio,band_count,rho_lock,lock_quality_Q,participation_entropy,dna_cluster_id
0,A,F58FC,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,8.190577463402574,5.508369100799793,,0.6508499025336822,11,0.5310521313334919,0.9996227863065218,0.0035068249003182804,
1,B,F254E,LOCKED_midEnt_midBands_S1Q_bin7_S2S1_bin3,5.592283265381457,4.174484604502554,,0.6029590269535384,11,0.38829658797317806,0.9981417776518221,0.013857012408605143,
10,A,F6A11,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,9.623156709368168,6.878636452484123,,0.6129314453899698,17,0.188557924803442,0.9997921590482778,0.002111769035585352,
100,B,F3819,LOCKED_midEnt_hiBands_S1Q_bin8_S2S1_bin3,8.46243732763316,6.928672869955678,,0.6238184390075737,18,0.2939255203418937,0.9986971068861007,0.010780319780401351,
101,A,F0269,LOCKED_lowEnt_midBands_S1Q_bin2_S2S1_bin3,2.8850229848178857,5.7558886102648055,,0.6349065882465386,11,0.39328195751604283,0.9994076013145535,0.005274553512207494,
102,A,F6ABF,LOCKED_lowEnt_vhiBands_S1Q_bin4_S2S1_bin3,3.992795019408602,6.754138660764813,,0.6007575135018045,22,0.2809378910144195,0.9998012335313929,0.002000252945250273,
103,B,FD675,LOCKED_midEnt_vhiBands_S1Q_bin1_S2S1_bin3,2.1846652432834506,8.47486241074858,,0.6552831236369111,21,0.17287377499691342,0.9987077453176144,0.010446143902899366,
104,A,FBB22,LOCKED_lowEnt_vhiBands_S1Q_bin7_S2S1_bin3,5.225251042520608,3.0866618954803795,,0.6400186310364666,20,0.33209037877002856,0.9993340827296315,0.005880297861065335,
105,A,FDDA9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,7.409411759063901,2.613145018617117,,0.6568735363319023,11,0.4628418373612206,0.9997045349254311,0.002898019964261996,
106,A,F387F,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,7.391289498595708,7.975442456571783,,0.6007827882365187,17,0.3793744741369485,0.9989067826968293,0.00896861423059165,
107,A,F0269,LOCKED_lowEnt_midBands_S1Q_bin2_S2S1_bin3,2.84575696414408,2.2790057313803844,,0.6122652635745094,11,0.38096270095651436,0.9997879347203124,0.0020767050726623448,
108,A,F6D97,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,8.040696928047462,8.793561221964739,,0.6170870076271809,11,0.3652587527253382,0.9996158528636614,0.0035785187820939167,
109,A,F3CEA,LOCKED_lowEnt_vhiBands_S1Q_bin6_S2S1_bin3,4.90273825649094,7.565121919343789,,0.6339260162572848,22,0.3741376084125011,0.9997649385484674,0.002362042795675492,
11,A,F387F,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,8.584158899712945,6.30934978142105,,0.648374450634293,15,0.38167907467325723,0.9999304263474896,0.000781045955241623,
110,A,FDDBA,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,6.661581959094541,4.794363054128297,,0.6181980058993684,21,0.29711462331891947,0.9990778006583122,0.007895387961624482,
111,A,F387F,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,6.971909242430279,6.53624518640781,,0.6389244083761789,16,0.39056360636637355,0.9998031591829044,0.0019723474588852694,
112,A,F6ABF,LOCKED_lowEnt_vhiBands_S1Q_bin4_S2S1_bin3,3.7804352038287083,6.363782417463287,,0.6356753048161957,21,0.2837269188260251,0.9994777839216663,0.004813013235702738,
113,A,FCF8D,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,8.029113225368613,3.963898516332804,,0.6128121583292725,17,0.41529996105356454,0.9995870941347571,0.0038908738816483875,
114,A,F5139,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,7.601003786955913,8.352977135719538,,0.6173349770075782,20,0.3026501191117154,0.9992500804997773,0.006665503196258622,
115,A,FB4E3,LOCKED_lowEnt_maxBands_S1Q_bin8_S2S1_bin3,6.146511869034579,8.736208889641434,,0.6150352240114385,26,0.4514476762101285,0.9997540045455888,0.0024022202498885804,
116,B,F1294,LOCKED_midEnt_midBands_S1Q_bin5_S2S1_bin3,4.223534812702346,3.100674870343157,,0.6431182659371002,12,0.5732890661690866,0.9986115708210842,0.011481710628069616,
117,B,F3819,LOCKED_midEnt_hiBands_S1Q_bin8_S2S1_bin3,8.265034769754987,5.374578771997294,,0.6456299823132196,17,0.22187209882705428,0.9986047705215249,0.01080956611783572,
118,A,F9A4B,LOCKED_lowEnt_vhiBands_S1Q_bin2_S2S1_bin3,2.6689565732381544,8.479807946753043,,0.6336208191703563,20,0.22533790337410295,0.9995953948433991,0.0037990789894757422,
119,A,FDDA9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,7.089956650319785,4.631094342060498,,0.600648524441075,12,0.4526491972040376,0.9991797883948944,0.007131701519257792,
12,B,FDFE8,LOCKED_lowEnt_maxBands_S1Q_bin4_S2S1_bin3,3.54184425470706,2.8220194724182037,,0.6513240748259799,28,0.13463832970264347,0.9990232924557076,0.00824852482648902,
120,B,FB8D8,LOCKED_lowEnt_vhiBands_S1Q_bin3_S2S1_bin3,3.1626954388319493,7.124432196717571,,0.6158263148126091,21,0.1515784079529091,0.9998523533358809,0.0015337693106494401,
