run_id,best_target,best_family,best_d_total
0.0,proton,nucleon_like,5.009979939920564
1.0,rho,rho_like,22.05802413821004
2.0,proton,nucleon_like,2.875360326613232
3.0,proton,nucleon_like,2.8753603266132277
4.0,proton,nucleon_like,2.4395652601534046
5.0,proton,nucleon_like,2.4395652601534152
6.0,proton,nucleon_like,22.80749013315033
7.0,proton,nucleon_like,9.506911868744309
8.0,rho,rho_like,15.340522571191919
9.0,proton,nucleon_like,17.591361420648433
10.0,pion,pion_like,14.028829290600275
11.0,rho,rho_like,10.631216734351295
12.0,proton,nucleon_like,15.403389951088256
13.0,proton,nucleon_like,22.496267911911403
14.0,pion,pion_like,27.81788227104067
15.0,proton,nucleon_like,19.94159760331397
16.0,proton,nucleon_like,20.493222578558484
17.0,proton,nucleon_like,11.610093899277901
18.0,proton,nucleon_like,21.492170804959322
19.0,proton,nucleon_like,15.953278099728129
20.0,proton,nucleon_like,2.846159455948185
21.0,proton,nucleon_like,7.334537088051436
22.0,proton,nucleon_like,2.439565260153407
23.0,rho,rho_like,11.23086396921751
24.0,proton,nucleon_like,18.841186621103372
25.0,proton,nucleon_like,19.58582768199354
26.0,rho,rho_like,10.631216734351302
27.0,proton,nucleon_like,21.900642411074475
28.0,proton,nucleon_like,3.666986925324479
29.0,proton,nucleon_like,2.4395652601534152
30.0,proton,nucleon_like,2.875360326613232
31.0,proton,nucleon_like,11.401400650717505
32.0,proton,nucleon_like,2.87536032661323
33.0,rho,rho_like,9.337859891139978
34.0,proton,nucleon_like,18.407628563473253
35.0,proton,nucleon_like,2.87536032661323
36.0,proton,nucleon_like,17.271012952912606
37.0,pion,pion_like,8.810055766753042
38.0,rho,rho_like,5.568312657482496
39.0,proton,nucleon_like,15.403389951088243
40.0,rho,rho_like,10.631216734351302
41.0,proton,nucleon_like,23.39572537417851
42.0,proton,nucleon_like,20.30006459896247
43.0,proton,nucleon_like,15.96613951366001
44.0,proton,nucleon_like,7.665224906491577
45.0,proton,nucleon_like,15.403389951088254
46.0,rho,rho_like,19.635022262693468
47.0,proton,nucleon_like,18.945563294339784
48.0,rho,rho_like,11.344718565189329
49.0,proton,nucleon_like,11.401400650717513
50.0,proton,nucleon_like,23.768124247384034
51.0,proton,nucleon_like,10.160234836730895
52.0,proton,nucleon_like,2.8461594559481806
53.0,proton,nucleon_like,20.300064598962464
54.0,rho,rho_like,11.868686722159875
55.0,rho,rho_like,5.568312657482508
56.0,proton,nucleon_like,14.777931924914634
57.0,proton,nucleon_like,21.900642411074475
58.0,rho,rho_like,9.167371937980985
59.0,proton,nucleon_like,20.61236933309273
60.0,proton,nucleon_like,17.409624615703677
61.0,proton,nucleon_like,17.271012952912606
62.0,proton,nucleon_like,2.439565260153411
63.0,proton,nucleon_like,19.025380750344095
64.0,proton,nucleon_like,19.025380750344095
65.0,proton,nucleon_like,24.701594977123534
66.0,proton,nucleon_like,22.27898329111851
67.0,proton,nucleon_like,2.87536032661323
68.0,proton,nucleon_like,6.924484193185673
69.0,proton,nucleon_like,25.125171247805326
70.0,proton,nucleon_like,21.654284086238015
71.0,pion,pion_like,27.81788227104067
72.0,rho,rho_like,9.403703504922413
73.0,rho,rho_like,10.631216734351295
74.0,proton,nucleon_like,22.46702714161369
75.0,rho,rho_like,9.096825208928351
76.0,pion,pion_like,18.625180284080404
77.0,proton,nucleon_like,8.176239905949988
78.0,proton,nucleon_like,2.846159455948185
79.0,proton,nucleon_like,2.439565260153411
80.0,proton,nucleon_like,16.855177964539383
81.0,rho,rho_like,9.403703506827622
82.0,proton,nucleon_like,21.549694858837867
83.0,proton,nucleon_like,4.754803996120105
84.0,proton,nucleon_like,15.96613951366001
85.0,rho,rho_like,10.119752889549764
86.0,rho,rho_like,21.087463855052455
87.0,rho,rho_like,24.617694850568938
88.0,proton,nucleon_like,17.271012952912606
89.0,proton,nucleon_like,15.953278099728129
90.0,proton,nucleon_like,24.23999649469198
91.0,rho,rho_like,7.453086274311232
92.0,rho,rho_like,21.353246921389037
93.0,proton,nucleon_like,21.924987075019565
94.0,proton,nucleon_like,2.87536032661323
95.0,proton,nucleon_like,11.140534090017004
96.0,rho,rho_like,6.869208260113975
97.0,pion,pion_like,14.028829290600275
98.0,proton,nucleon_like,22.182713452259605
99.0,proton,nucleon_like,2.875360326613226
100.0,proton,nucleon_like,22.49626791191141
101.0,proton,nucleon_like,22.661746443212735
102.0,proton,nucleon_like,17.300982813544422
103.0,proton,nucleon_like,19.02538075034409
104.0,proton,nucleon_like,2.4395652601534006
105.0,proton,nucleon_like,19.585827681993543
106.0,proton,nucleon_like,10.124195796499217
107.0,proton,nucleon_like,20.724901196847895
108.0,proton,nucleon_like,23.58246389325284
109.0,proton,nucleon_like,2.439565260153411
110.0,proton,nucleon_like,18.84118662110338
111.0,proton,nucleon_like,3.666986925324471
112.0,pion,pion_like,27.862944535682633
113.0,rho,rho_like,9.851052803810514
114.0,pion,pion_like,12.496712292773562
115.0,proton,nucleon_like,19.08839453140014
116.0,proton,nucleon_like,2.439565260153411
117.0,pion,pion_like,11.409403455606219
118.0,proton,nucleon_like,4.300288204293466
119.0,proton,nucleon_like,14.718743036330382
120.0,proton,nucleon_like,2.8753603266132317
121.0,proton,nucleon_like,17.591361420648433
122.0,rho,rho_like,21.196005279893424
123.0,pion,pion_like,15.560946288426983
124.0,proton,nucleon_like,19.025380750344095
125.0,proton,nucleon_like,2.846159455948183
126.0,proton,nucleon_like,20.38457121503572
127.0,proton,nucleon_like,21.65428408623802
128.0,rho,rho_like,10.631216734351305
129.0,rho,rho_like,9.882098564741803
130.0,proton,nucleon_like,6.973706752868326
131.0,proton,nucleon_like,11.401400650717507
132.0,proton,nucleon_like,2.4395652601534046
133.0,proton,nucleon_like,3.2159921928544946
134.0,proton,nucleon_like,21.654284086238015
135.0,rho,rho_like,10.631216734351298
136.0,proton,nucleon_like,3.666986925324477
137.0,proton,nucleon_like,4.818443796177194
138.0,rho,rho_like,10.631216734351295
139.0,proton,nucleon_like,11.14053409001702
140.0,proton,nucleon_like,20.007853342508408
141.0,proton,nucleon_like,13.799531599356051
142.0,proton,nucleon_like,17.591361420648422
143.0,proton,nucleon_like,2.8461594559481727
144.0,rho,rho_like,9.882098564741819
145.0,proton,nucleon_like,18.90263587758327
146.0,proton,nucleon_like,16.91381133740576
147.0,proton,nucleon_like,18.84118662110338
148.0,proton,nucleon_like,19.02538075034409
149.0,proton,nucleon_like,3.666986925324475
150.0,rho,rho_like,10.631216734351295
151.0,proton,nucleon_like,22.782917749528945
152.0,proton,nucleon_like,11.140534090017022
153.0,proton,nucleon_like,2.846159455948176
154.0,proton,nucleon_like,4.81844379617719
155.0,rho,rho_like,9.851052803810514
156.0,rho,rho_like,10.152241502578114
