run_id,best_target,type,best_d_total,structure_tier,s2_state,enough_levels,reason
750.0,proton,baryon,13.740050702944368,none,structural,1.0,tier_too_low
751.0,rho,meson,24.617694850568938,none,latent,1.0,tier_too_low
752.0,proton,baryon,2.87536032661323,level1,none,0.0,tier_too_low
753.0,proton,baryon,21.44057120035785,none,latent,1.0,tier_too_low
754.0,proton,baryon,11.610093899277901,level1,latent,1.0,tier_too_low
755.0,proton,baryon,2.4395652601533984,level1,none,0.0,tier_too_low
756.0,proton,baryon,2.87536032661323,level1,none,0.0,tier_too_low
757.0,proton,baryon,24.701594977123534,none,latent,1.0,tier_too_low
758.0,proton,baryon,11.61009389927787,level1,none,1.0,tier_too_low
759.0,rho,meson,10.656426800272854,none,latent,1.0,tier_too_low
760.0,proton,baryon,8.760257048188205,none,latent,0.0,tier_too_low
761.0,proton,baryon,10.140213147713295,none,latent,0.0,tier_too_low
762.0,proton,baryon,17.145055365283746,none,latent,1.0,tier_too_low
763.0,proton,baryon,11.401400650717498,level1,none,1.0,tier_too_low
764.0,pion,meson,12.496712292773566,none,structural,1.0,tier_too_low
765.0,proton,baryon,22.782917749528934,none,latent,1.0,tier_too_low
766.0,proton,baryon,16.000677794363835,none,structural,0.0,tier_too_low
767.0,rho,meson,10.631216734351295,level1,none,1.0,distance_high
768.0,rho,meson,7.484511634478618,none,structural,1.0,tier_too_low
769.0,proton,baryon,2.875360326613234,level1,none,0.0,tier_too_low
770.0,proton,baryon,2.439565260153407,level1,none,0.0,tier_too_low
771.0,proton,baryon,2.8461594559481727,level1,none,0.0,tier_too_low
772.0,rho,meson,10.631216734351304,level1,none,1.0,distance_high
773.0,proton,baryon,2.439565260153409,level1,none,0.0,tier_too_low
774.0,proton,baryon,9.506911868744297,none,none,0.0,tier_too_low
775.0,proton,baryon,21.654284086238015,none,latent,1.0,tier_too_low
776.0,proton,baryon,17.30098281354443,none,none,1.0,tier_too_low
777.0,proton,baryon,2.8461594559481744,level1,none,0.0,tier_too_low
778.0,proton,baryon,2.439565260153407,level1,none,0.0,tier_too_low
779.0,proton,baryon,11.401400650717491,level1,none,1.0,tier_too_low
780.0,proton,baryon,3.6669869253244727,level1,latent,0.0,tier_too_low
781.0,proton,baryon,2.4395652601534006,level1,latent,0.0,tier_too_low
782.0,proton,baryon,11.610093899277885,level1,latent,1.0,tier_too_low
783.0,rho,meson,10.119752889549765,level1,none,1.0,distance_high
784.0,rho,meson,24.073736766987263,none,structural,1.0,tier_too_low
785.0,proton,baryon,21.440571200357862,none,none,1.0,tier_too_low
786.0,proton,baryon,3.666986925324473,level1,latent,0.0,tier_too_low
787.0,pion,meson,27.81788227104067,none,structural,1.0,tier_too_low
788.0,proton,baryon,17.30098281354443,none,latent,1.0,tier_too_low
789.0,proton,baryon,2.846159455948176,level1,none,0.0,tier_too_low
790.0,rho,meson,12.726942471780667,none,structural,0.0,tier_too_low
791.0,rho,meson,20.19382666021431,none,latent,1.0,tier_too_low
792.0,rho,meson,10.631216734351298,level1,none,1.0,distance_high
793.0,pion,meson,27.151744445898622,none,structural,1.0,tier_too_low
794.0,proton,baryon,15.403389951088254,none,none,1.0,tier_too_low
795.0,proton,baryon,11.14053409001702,level1,none,1.0,tier_too_low
796.0,rho,meson,8.560753630504019,none,latent,0.0,tier_too_low
797.0,proton,baryon,19.738300505416582,level1,latent,0.0,tier_too_low
798.0,proton,baryon,15.038485710523588,none,latent,1.0,tier_too_low
799.0,proton,baryon,11.14053409001702,level1,none,1.0,tier_too_low
800.0,rho,meson,5.766559205267146,none,structural,1.0,tier_too_low
801.0,proton,baryon,18.145720579665156,none,latent,1.0,tier_too_low
802.0,proton,baryon,23.177781009423015,none,none,1.0,tier_too_low
803.0,proton,baryon,21.654284086238015,none,latent,1.0,tier_too_low
804.0,proton,baryon,21.26756553083581,none,latent,1.0,tier_too_low
805.0,proton,baryon,23.582463893252843,level1,latent,0.0,tier_too_low
806.0,proton,baryon,6.2098024820647115,none,none,0.0,tier_too_low
807.0,proton,baryon,4.818443796177194,level1,latent,0.0,tier_too_low
808.0,proton,baryon,19.139405687493124,none,latent,1.0,tier_too_low
809.0,proton,baryon,11.401400650717507,level1,none,1.0,tier_too_low
810.0,proton,baryon,11.14053409001701,level1,none,1.0,tier_too_low
811.0,proton,baryon,26.9429385955492,level1,structural,0.0,tier_too_low
812.0,proton,baryon,2.439565260153409,level1,none,0.0,tier_too_low
813.0,pion,meson,10.172120985726142,none,structural,1.0,tier_too_low
814.0,proton,baryon,11.401400650717505,level1,none,1.0,tier_too_low
815.0,proton,baryon,4.300288204293469,level1,none,0.0,tier_too_low
816.0,proton,baryon,2.8753603266132277,level1,latent,0.0,tier_too_low
817.0,proton,baryon,2.4395652601534175,level1,none,0.0,tier_too_low
818.0,rho,meson,22.05802413821004,none,latent,1.0,tier_too_low
819.0,proton,baryon,20.384571215035727,none,none,1.0,tier_too_low
820.0,proton,baryon,3.666986925324473,level1,none,0.0,tier_too_low
821.0,proton,baryon,2.846159455948179,level1,none,0.0,tier_too_low
822.0,proton,baryon,17.591361420648433,none,latent,1.0,tier_too_low
823.0,proton,baryon,18.407628563473263,level1,none,0.0,tier_too_low
824.0,proton,baryon,23.177781009423025,none,latent,1.0,tier_too_low
825.0,proton,baryon,21.25663130695749,level1,none,0.0,tier_too_low
826.0,pion,meson,27.770003614858584,none,structural,1.0,tier_too_low
827.0,rho,meson,9.096825208928333,none,latent,1.0,tier_too_low
828.0,rho,meson,10.656426800272847,none,latent,1.0,tier_too_low
829.0,proton,baryon,2.439565260153407,level1,none,0.0,tier_too_low
830.0,proton,baryon,9.606517714392343,none,latent,0.0,tier_too_low
831.0,proton,baryon,4.818443796177192,level1,none,0.0,tier_too_low
832.0,proton,baryon,17.30098281354443,none,latent,1.0,tier_too_low
