first_max,spacing_min,dspacing_min,n_total,n_region,k_region_s2,p_region,se_region,n_out,k_out_s2,p_out,se_out,delta_p,z_score
0.6,0.4,5.5,200,6,5,0.8333333333333334,0.15214515486254612,194,20,0.10309278350515463,0.02183167346919461,0.7302405498281788,4.750968487254633
0.6,0.4,6.0,200,5,4,0.8,0.17888543819998315,195,21,0.1076923076923077,0.02219894598516728,0.6923076923076923,3.8406579796757767
0.6,0.4,6.5,200,5,4,0.8,0.17888543819998315,195,21,0.1076923076923077,0.02219894598516728,0.6923076923076923,3.8406579796757767
0.6,0.45,5.5,200,5,5,1.0,0.0,195,20,0.10256410256410256,0.021726116557341624,0.8974358974358975,41.30677910464577
0.6,0.45,6.0,200,4,4,1.0,0.0,196,21,0.10714285714285714,0.022092484790419354,0.8928571428571429,40.414518843273804
0.6,0.45,6.5,200,4,4,1.0,0.0,196,21,0.10714285714285714,0.022092484790419354,0.8928571428571429,40.414518843273804
0.6,0.5,5.5,200,5,5,1.0,0.0,195,20,0.10256410256410256,0.021726116557341624,0.8974358974358975,41.30677910464577
0.6,0.5,6.0,200,4,4,1.0,0.0,196,21,0.10714285714285714,0.022092484790419354,0.8928571428571429,40.414518843273804
0.6,0.5,6.5,200,4,4,1.0,0.0,196,21,0.10714285714285714,0.022092484790419354,0.8928571428571429,40.414518843273804
0.7,0.4,5.5,200,14,7,0.5,0.1336306209562122,186,18,0.0967741935483871,0.021678113065556354,0.4032258064516129,2.9785276809795485
0.7,0.4,6.0,200,13,6,0.46153846153846156,0.13826415911891032,187,19,0.10160427807486631,0.022093729450353317,0.35993418346359524,2.5706233381450243
0.7,0.4,6.5,200,13,6,0.46153846153846156,0.13826415911891032,187,19,0.10160427807486631,0.022093729450353317,0.35993418346359524,2.5706233381450243
0.7,0.45,5.5,200,13,7,0.5384615384615384,0.13826415911891032,187,18,0.0962566844919786,0.021568363539899195,0.44220485396955983,3.1600436014601305
0.7,0.45,6.0,200,12,6,0.5,0.14433756729740643,188,19,0.10106382978723404,0.021982818737810224,0.39893617021276595,2.7324024988820597
0.7,0.45,6.5,200,12,6,0.5,0.14433756729740643,188,19,0.10106382978723404,0.021982818737810224,0.39893617021276595,2.7324024988820597
0.7,0.5,5.5,200,8,6,0.75,0.15309310892394862,192,19,0.09895833333333333,0.021550036445882537,0.6510416666666666,4.211070718385244
0.7,0.5,6.0,200,7,5,0.7142857142857143,0.17074694419062766,193,20,0.10362694300518134,0.021938255286566448,0.6106587712805329,3.5472371813851944
0.7,0.5,6.5,200,7,5,0.7142857142857143,0.17074694419062766,193,20,0.10362694300518134,0.021938255286566448,0.6106587712805329,3.5472371813851944
0.8,0.4,5.5,200,28,9,0.32142857142857145,0.0882594076122765,172,16,0.09302325581395349,0.02214775038338915,0.22840531561461797,2.51006281703601
0.8,0.4,6.0,200,27,8,0.2962962962962963,0.08787718725951697,173,17,0.09826589595375723,0.022631722281921597,0.19803040034253905,2.1822813749851893
0.8,0.4,6.5,200,26,8,0.3076923076923077,0.09051513929454648,174,17,0.09770114942528736,0.022508700083774123,0.20999115826702036,2.2513891432081206
0.8,0.45,5.5,200,23,8,0.34782608695652173,0.09931134621220186,177,17,0.096045197740113,0.02214749194855168,0.25178088921640873,2.474482062762563
0.8,0.45,6.0,200,22,7,0.3181818181818182,0.09930260198923899,178,18,0.10112359550561797,0.02259780415125812,0.2170582226762002,2.1313361420412504
0.8,0.45,6.5,200,21,7,0.3333333333333333,0.10286889997472795,179,18,0.1005586592178771,0.02247861991953774,0.23277467411545621,2.210664558917111
0.8,0.5,5.5,200,13,7,0.5384615384615384,0.13826415911891032,187,18,0.0962566844919786,0.021568363539899195,0.44220485396955983,3.1600436014601305
0.8,0.5,6.0,200,12,6,0.5,0.14433756729740643,188,19,0.10106382978723404,0.021982818737810224,0.39893617021276595,2.7324024988820597
0.8,0.5,6.5,200,12,6,0.5,0.14433756729740643,188,19,0.10106382978723404,0.021982818737810224,0.39893617021276595,2.7324024988820597
0.9,0.4,5.5,200,36,11,0.3055555555555556,0.07677372199896759,164,14,0.08536585365853659,0.021819453823797158,0.22018970189701897,2.7587814745664505
0.9,0.4,6.0,200,35,10,0.2857142857142857,0.07636035483212125,165,15,0.09090909090909091,0.022380271087151408,0.1948051948051948,2.448147691984946
0.9,0.4,6.5,200,32,10,0.3125,0.08193819126329309,168,15,0.08928571428571429,0.0220002401921688,0.2232142857142857,2.630993364032338
0.9,0.45,5.5,200,24,9,0.375,0.09882117688026186,176,16,0.09090909090909091,0.021669604301036188,0.28409090909090906,2.808078463914106
0.9,0.45,6.0,200,23,8,0.34782608695652173,0.09931134621220186,177,17,0.096045197740113,0.02214749194855168,0.25178088921640873,2.474482062762563
0.9,0.45,6.5,200,22,8,0.36363636363636365,0.10255928633050294,178,17,0.09550561797752809,0.02202963975186517,0.26813074565883555,2.5560950756443463
0.9,0.5,5.5,200,14,8,0.5714285714285714,0.13226001425322165,186,17,0.0913978494623656,0.021129946462437755,0.4800307219662058,3.5839972405457794
0.9,0.5,6.0,200,13,7,0.5384615384615384,0.13826415911891032,187,18,0.0962566844919786,0.021568363539899195,0.44220485396955983,3.1600436014601305
0.9,0.5,6.5,200,13,7,0.5384615384615384,0.13826415911891032,187,18,0.0962566844919786,0.021568363539899195,0.44220485396955983,3.1600436014601305
