run_id,best_target,best_family,best_d_total,second_best_target,second_best_family,second_best_d_total,delta_margin
163.0,deuteron,nucleus,1.3531033129655297,delta_1232,delta_like,6.807551150600842,5.454447837635312
164.0,delta_1232,delta_like,7.6799999232000005,eta_prime,eta_prime_like,10.4199998958,2.7399999725999997
165.0,deuteron,nucleus,3.5511107560000514,delta_1232,delta_like,7.196231806261007,3.645121050260956
166.0,delta_1232,delta_like,4.498242120048955,eta_prime,eta_prime_like,6.549032192574191,2.0507900725252357
167.0,eta_prime,eta_prime_like,1.531111095800001,phi,phi_like,4.4192987002012,2.8881876044011987
168.0,deuteron,nucleus,1.530908937818178,delta_1232,delta_like,8.108774620022407,6.577865682204229
169.0,deuteron,nucleus,0.46322576012904104,delta_1232,delta_like,6.760981694144937,6.297755934015896
170.0,eta_prime,eta_prime_like,3.2771428243714325,Kstar_892,kstar_like,3.6707930104174324,0.393650186046
171.0,deuteron,nucleus,4.106666256000011,delta_1232,delta_like,7.256467312848493,3.1498010568484816
172.0,tau,lepton,0.5371428034285557,delta_1232,delta_like,5.68173906920408,5.144596265775524
173.0,eta_prime,eta_prime_like,0.5323595452382007,quark_s_const,quark_like,4.260299589965666,3.7279400447274655
174.0,delta_1232,delta_like,9.399178646753851,deuteron,nucleus,9.66222125600007,0.26304260924621836
175.0,eta_prime,eta_prime_like,1.9755555358000016,phi,phi_like,4.035080465903947,2.0595249301039456
176.0,deuteron,nucleus,4.581276137617063,tau,lepton,5.298722874383036,0.7174467367659725
177.0,delta_1232,delta_like,4.160905751630647,eta_prime,eta_prime_like,6.2533332708000025,2.0924275191693553
178.0,deuteron,nucleus,4.226666244000021,tau,lepton,5.6533327680000784,1.4266665240000576
179.0,delta_1232,delta_like,8.107045620155382,neutron,nucleon_like,9.158684347195244,1.0516387270398617
180.0,eta_prime,eta_prime_like,3.7533332957999996,delta_1232,delta_like,4.1306693814111854,0.3773360856111858
181.0,eta_prime,eta_prime_like,0.8961904672285724,Kstar_892,kstar_like,3.927459879969816,3.0312694127412434
182.0,delta_1232,delta_like,7.831442603001824,neutron,nucleon_like,8.676271150407787,0.8448285474059638
183.0,tau,lepton,4.138181404363678,deuteron,nucleus,5.7418176076364205,1.6036362032727425
184.0,deuteron,nucleus,3.5511107560000514,delta_1232,delta_like,7.196231806261007,3.645121050260956
185.0,deuteron,nucleus,6.960547249150761,delta_1232,delta_like,7.565896285044515,0.6053490358937532
186.0,deuteron,nucleus,4.276734266204122,delta_1232,delta_like,7.274906753640588,2.9981724874364657
187.0,delta_1232,delta_like,4.380442364299083,neutron,nucleon_like,6.400172751668365,2.0197303873692825
188.0,eta_prime,eta_prime_like,0.7799999921999996,quark_s_const,quark_like,3.166666640277778,2.3866666480777785
189.0,delta_1232,delta_like,7.6799999232000005,eta_prime,eta_prime_like,10.4199998958,2.7399999725999997
190.0,eta_prime,eta_prime_like,2.5353845900307688,phi,phi_like,4.578720011700381,2.043335421669612
191.0,delta_1232,delta_like,7.678115858960936,deuteron,nucleus,7.995554756000081,0.3174388970391444
192.0,deuteron,nucleus,0.8933332439999772,delta_1232,delta_like,6.714347753561077,5.8210145095611
193.0,delta_1232,delta_like,8.107366944739757,neutron,nucleon_like,9.158940466121969,1.0515735213822115
194.0,eta_prime,eta_prime_like,0.4199999958000004,Kstar_892,kstar_like,3.6509716590888575,3.230971663288857
195.0,eta_prime,eta_prime_like,3.7533332957999996,delta_1232,delta_like,4.448513101442864,0.6951798056428644
196.0,deuteron,nucleus,1.328888756000015,delta_1232,delta_like,8.0767148926502,6.747826136650184
197.0,deuteron,nucleus,2.3748145773333498,delta_1232,delta_like,6.55371973599443,4.17890515866108
198.0,delta_1232,delta_like,5.358498906607959,tau,lepton,6.251427946285758,0.8929290396777985
199.0,eta_prime,eta_prime_like,1.7533333158000024,Kstar_892,kstar_like,4.192888572015535,2.4395552562155327
200.0,delta_1232,delta_like,5.512688726974182,tau,lepton,6.627367758315828,1.1146790313416464
201.0,deuteron,nucleus,5.1672722105455104,delta_1232,delta_like,7.371462370879162,2.204190160333652
202.0,eta_prime,eta_prime_like,2.4199999758,phi,phi_like,4.386412322597817,1.9664123467978167
203.0,deuteron,nucleus,0.05999999399997179,delta_1232,delta_like,7.856304266966261,7.79630427296629
204.0,delta_1232,delta_like,4.367736088037652,eta_prime,eta_prime_like,6.971724068213794,2.603987980176142
205.0,deuteron,nucleus,4.596862285411801,delta_1232,delta_like,7.309616289249224,2.712754003837423
206.0,deuteron,nucleus,4.439999556000067,delta_1232,delta_like,8.570434694182232,4.130435138182166
207.0,tau,lepton,2.6799997320000646,delta_1232,delta_like,5.449402115223748,2.7694023832236834
208.0,tau,lepton,0.9607766029514597,delta_1232,delta_like,5.8844265581248205,4.923649955173361
209.0,delta_1232,delta_like,4.5773060032939465,neutron,nucleon_like,6.575704358541097,1.9983983552471507
210.0,delta_1232,delta_like,3.8674410141851707,eta_prime,eta_prime_like,6.390149189829849,2.522708175644678
211.0,deuteron,nucleus,1.8457141011428182,delta_1232,delta_like,6.6110868851253795,4.765372783982562
212.0,deuteron,nucleus,4.596862285411823,delta_1232,delta_like,7.309616289249225,2.712754003837402
213.0,quark_ud_const,quark_like,1.7037558515070428,quark_s_const,quark_like,2.8364632001499746,1.1327073486429318
214.0,delta_1232,delta_like,7.8502173063537715,deuteron,nucleus,9.582856184571542,1.7326388782177702
215.0,eta_prime,eta_prime_like,2.3554838474129043,phi,phi_like,4.341693325201951,1.9862094777890467
216.0,deuteron,nucleus,1.6291890262703148,delta_1232,delta_like,6.987849513201579,5.358660486931264
217.0,eta_prime,eta_prime_like,2.4199999758,phi,phi_like,4.269589661087462,1.8495896852874618
218.0,deuteron,nucleus,3.5599996440000656,tau,lepton,6.319999368000033,2.7599997239999676
219.0,delta_1232,delta_like,3.797351737082443,eta_prime,eta_prime_like,5.874545395800003,2.07719365871756
220.0,delta_1232,delta_like,4.13630987635887,eta_prime,eta_prime_like,5.035384565030774,0.8990746886719041
221.0,tau,lepton,4.1381814043637,deuteron,nucleus,5.741817607636398,1.603636203272698
222.0,delta_1232,delta_like,3.1662111462206846,neutron,nucleon_like,5.543973234075005,2.3777620878543204
223.0,eta_prime,eta_prime_like,1.1892307573384637,phi,phi_like,3.308652484756771,2.1194217274183074
