run_id,target_name,family,type,d_total,d_spacing,d_mass,enough_levels
8.0,pion,pion_like,meson,34.177633365049516,0.3851931942064149,33.7924401708431,1
8.0,rho,rho_like,meson,16.804047719349555,7.407407205697526,9.39664051365203,1
8.0,kaon,kaon_like,meson,20.765826929729652,3.6541995931404903,17.111627336589162,1
8.0,phi,phi_like,meson,9.139534426744218,nan,9.139534426744218,1
8.0,proton,nucleon_like,baryon,18.205717976241523,9.27412912667433,8.931588849567191,1
8.0,neutron,nucleon_like,baryon,18.205717976241523,9.27412912667433,8.931588849567191,1
8.0,delta_1232,delta_like,baryon,19.062026272191428,11.993034200854215,7.068992071337213,1
8.0,quark_ud_const,quark_like,effective_quark,23.482285591750056,6.875309179703541,16.606976412046514,1
8.0,quark_s_const,quark_like,effective_quark,19.069767122093026,6.162790636046514,12.906976486046513,1
9.0,pion,pion_like,meson,57.30234459201156,8.277347043261438,49.02499754875012,1
9.0,rho,rho_like,meson,20.981480842455444,4.814814714677644,16.1666661277778,1
9.0,kaon,kaon_like,meson,33.45223270166133,6.185566943883518,27.26666575777781,1
9.0,phi,phi_like,meson,28.999998550000075,nan,28.999998550000075,1
9.0,proton,nucleon_like,baryon,17.046760275989023,3.4550940623778907,13.59166621361113,1
9.0,neutron,nucleon_like,baryon,17.046760275989023,3.4550940623778907,13.59166621361113,1
9.0,delta_1232,delta_like,baryon,8.857729247777536,3.291062720277532,5.566666527500004,1
9.0,quark_ud_const,quark_like,effective_quark,25.572339940975112,2.8723403949751027,22.699999546000008,1
9.0,quark_s_const,quark_like,effective_quark,21.99999959000001,2.9999999700000006,18.999999620000008,1
10.0,pion,pion_like,meson,25.453302776317756,2.7326517384372604,22.720651037880494,1
10.0,rho,rho_like,meson,21.376005826322572,9.339774343472312,12.03623148285026,1
10.0,kaon,kaon_like,meson,19.24580858310438,7.541461147162335,11.704347435942047,1
10.0,phi,phi_like,meson,29.26086810217399,nan,29.26086810217399,1
10.0,proton,nucleon_like,baryon,13.142796212321876,13.142796212321876,nan,0
10.0,neutron,nucleon_like,baryon,13.142796212321876,13.142796212321876,nan,0
10.0,delta_1232,delta_like,baryon,6.364209055630906,6.364209055630906,nan,0
10.0,quark_ud_const,quark_like,effective_quark,22.904439975351476,10.72617934935147,12.178260626000005,1
10.0,quark_s_const,quark_like,effective_quark,19.5652170978261,9.78260859782609,9.782608500000007,1
11.0,pion,pion_like,meson,0.0,nan,nan,0
11.0,rho,rho_like,meson,0.0,nan,nan,0
11.0,kaon,kaon_like,meson,0.0,nan,nan,0
11.0,phi,phi_like,meson,48.999997550000124,nan,48.999997550000124,1
11.0,proton,nucleon_like,baryon,0.0,nan,nan,0
11.0,neutron,nucleon_like,baryon,0.0,nan,nan,0
11.0,delta_1232,delta_like,baryon,0.0,nan,nan,0
11.0,quark_ud_const,quark_like,effective_quark,0.0,nan,nan,0
11.0,quark_s_const,quark_like,effective_quark,0.0,nan,nan,0
12.0,pion,pion_like,meson,55.44427213416644,8.08594116874967,47.35833096541677,1
12.0,rho,rho_like,meson,19.66460845684348,4.238683045115075,15.425925411728407,1
12.0,kaon,kaon_like,meson,32.102480927591735,5.946926243888012,26.155554683703723,1
12.0,phi,phi_like,meson,26.777776438888946,nan,26.777776438888946,1
