nodes_required,picked,reason,run_id,status,template_name
4,0,not_enough_blocks,109,skip,tetrahedron_alpha
4,0,not_enough_blocks,110,skip,tetrahedron_alpha
4,0,not_enough_blocks,111,skip,tetrahedron_alpha
4,0,not_enough_blocks,112,skip,tetrahedron_alpha
4,0,not_enough_blocks,113,skip,tetrahedron_alpha
4,0,not_enough_blocks,114,skip,tetrahedron_alpha
4,0,not_enough_blocks,115,skip,tetrahedron_alpha
4,0,not_enough_blocks,116,skip,tetrahedron_alpha
4,0,not_enough_blocks,117,skip,tetrahedron_alpha
4,0,not_enough_blocks,118,skip,tetrahedron_alpha
4,1,not_enough_blocks,119,skip,tetrahedron_alpha
4,0,not_enough_blocks,120,skip,tetrahedron_alpha
4,0,not_enough_blocks,121,skip,tetrahedron_alpha
4,0,not_enough_blocks,122,skip,tetrahedron_alpha
4,0,not_enough_blocks,123,skip,tetrahedron_alpha
4,0,not_enough_blocks,124,skip,tetrahedron_alpha
4,1,not_enough_blocks,125,skip,tetrahedron_alpha
4,0,not_enough_blocks,126,skip,tetrahedron_alpha
4,0,not_enough_blocks,127,skip,tetrahedron_alpha
4,0,not_enough_blocks,128,skip,tetrahedron_alpha
4,1,not_enough_blocks,129,skip,tetrahedron_alpha
4,0,not_enough_blocks,130,skip,tetrahedron_alpha
4,0,not_enough_blocks,131,skip,tetrahedron_alpha
4,0,not_enough_blocks,132,skip,tetrahedron_alpha
4,0,not_enough_blocks,133,skip,tetrahedron_alpha
4,0,not_enough_blocks,134,skip,tetrahedron_alpha
4,0,not_enough_blocks,135,skip,tetrahedron_alpha
4,1,not_enough_blocks,136,skip,tetrahedron_alpha
4,0,not_enough_blocks,137,skip,tetrahedron_alpha
4,0,not_enough_blocks,138,skip,tetrahedron_alpha
4,1,not_enough_blocks,139,skip,tetrahedron_alpha
4,0,not_enough_blocks,140,skip,tetrahedron_alpha
4,0,not_enough_blocks,141,skip,tetrahedron_alpha
4,0,not_enough_blocks,142,skip,tetrahedron_alpha
4,0,not_enough_blocks,143,skip,tetrahedron_alpha
4,0,not_enough_blocks,144,skip,tetrahedron_alpha
4,1,not_enough_blocks,145,skip,tetrahedron_alpha
4,1,not_enough_blocks,146,skip,tetrahedron_alpha
4,1,not_enough_blocks,147,skip,tetrahedron_alpha
4,1,not_enough_blocks,148,skip,tetrahedron_alpha
4,0,not_enough_blocks,149,skip,tetrahedron_alpha
4,0,not_enough_blocks,150,skip,tetrahedron_alpha
4,2,not_enough_blocks,151,skip,tetrahedron_alpha
4,0,not_enough_blocks,152,skip,tetrahedron_alpha
4,0,not_enough_blocks,153,skip,tetrahedron_alpha
4,0,not_enough_blocks,154,skip,tetrahedron_alpha
4,0,not_enough_blocks,155,skip,tetrahedron_alpha
4,1,not_enough_blocks,156,skip,tetrahedron_alpha
4,0,not_enough_blocks,157,skip,tetrahedron_alpha
4,0,not_enough_blocks,158,skip,tetrahedron_alpha
4,0,not_enough_blocks,159,skip,tetrahedron_alpha
4,0,not_enough_blocks,160,skip,tetrahedron_alpha
4,1,not_enough_blocks,161,skip,tetrahedron_alpha
4,0,not_enough_blocks,162,skip,tetrahedron_alpha
4,0,not_enough_blocks,163,skip,tetrahedron_alpha
4,0,not_enough_blocks,164,skip,tetrahedron_alpha
4,0,not_enough_blocks,165,skip,tetrahedron_alpha
4,1,not_enough_blocks,166,skip,tetrahedron_alpha
4,0,not_enough_blocks,167,skip,tetrahedron_alpha
4,0,not_enough_blocks,168,skip,tetrahedron_alpha
4,0,not_enough_blocks,169,skip,tetrahedron_alpha
4,0,not_enough_blocks,170,skip,tetrahedron_alpha
4,1,not_enough_blocks,171,skip,tetrahedron_alpha
4,0,not_enough_blocks,172,skip,tetrahedron_alpha
4,0,not_enough_blocks,173,skip,tetrahedron_alpha
4,0,not_enough_blocks,174,skip,tetrahedron_alpha
4,0,not_enough_blocks,175,skip,tetrahedron_alpha
4,0,not_enough_blocks,176,skip,tetrahedron_alpha
4,1,not_enough_blocks,177,skip,tetrahedron_alpha
4,0,not_enough_blocks,178,skip,tetrahedron_alpha
4,1,not_enough_blocks,179,skip,tetrahedron_alpha
4,0,not_enough_blocks,180,skip,tetrahedron_alpha
4,2,not_enough_blocks,181,skip,tetrahedron_alpha
4,0,not_enough_blocks,182,skip,tetrahedron_alpha
4,0,not_enough_blocks,183,skip,tetrahedron_alpha
4,1,not_enough_blocks,184,skip,tetrahedron_alpha
4,0,not_enough_blocks,185,skip,tetrahedron_alpha
4,0,not_enough_blocks,186,skip,tetrahedron_alpha
4,0,not_enough_blocks,187,skip,tetrahedron_alpha
4,0,not_enough_blocks,188,skip,tetrahedron_alpha
4,0,not_enough_blocks,189,skip,tetrahedron_alpha
4,0,not_enough_blocks,190,skip,tetrahedron_alpha
4,0,not_enough_blocks,191,skip,tetrahedron_alpha
4,0,not_enough_blocks,192,skip,tetrahedron_alpha
4,0,not_enough_blocks,193,skip,tetrahedron_alpha
4,0,not_enough_blocks,194,skip,tetrahedron_alpha
4,0,not_enough_blocks,195,skip,tetrahedron_alpha
4,0,not_enough_blocks,196,skip,tetrahedron_alpha
4,0,not_enough_blocks,197,skip,tetrahedron_alpha
4,0,not_enough_blocks,198,skip,tetrahedron_alpha
4,0,not_enough_blocks,199,skip,tetrahedron_alpha
4,1,not_enough_blocks,200,skip,tetrahedron_alpha
4,0,not_enough_blocks,201,skip,tetrahedron_alpha
4,0,not_enough_blocks,202,skip,tetrahedron_alpha
4,1,not_enough_blocks,203,skip,tetrahedron_alpha
4,0,not_enough_blocks,204,skip,tetrahedron_alpha
4,0,not_enough_blocks,205,skip,tetrahedron_alpha
4,0,not_enough_blocks,206,skip,tetrahedron_alpha
4,0,not_enough_blocks,207,skip,tetrahedron_alpha
4,1,not_enough_blocks,208,skip,tetrahedron_alpha
4,0,not_enough_blocks,209,skip,tetrahedron_alpha
4,0,not_enough_blocks,210,skip,tetrahedron_alpha
4,1,not_enough_blocks,211,skip,tetrahedron_alpha
4,0,not_enough_blocks,212,skip,tetrahedron_alpha
4,0,not_enough_blocks,213,skip,tetrahedron_alpha
4,0,not_enough_blocks,214,skip,tetrahedron_alpha
4,1,not_enough_blocks,215,skip,tetrahedron_alpha
4,0,not_enough_blocks,216,skip,tetrahedron_alpha
4,0,not_enough_blocks,217,skip,tetrahedron_alpha
4,0,not_enough_blocks,218,skip,tetrahedron_alpha
4,1,not_enough_blocks,219,skip,tetrahedron_alpha
4,0,not_enough_blocks,220,skip,tetrahedron_alpha
4,0,not_enough_blocks,221,skip,tetrahedron_alpha
4,1,not_enough_blocks,222,skip,tetrahedron_alpha
4,0,not_enough_blocks,223,skip,tetrahedron_alpha
4,0,not_enough_blocks,224,skip,tetrahedron_alpha
4,0,not_enough_blocks,225,skip,tetrahedron_alpha
4,0,not_enough_blocks,226,skip,tetrahedron_alpha
4,0,not_enough_blocks,227,skip,tetrahedron_alpha
4,0,not_enough_blocks,228,skip,tetrahedron_alpha
4,0,not_enough_blocks,229,skip,tetrahedron_alpha
4,0,not_enough_blocks,230,skip,tetrahedron_alpha
4,1,not_enough_blocks,231,skip,tetrahedron_alpha
4,0,not_enough_blocks,232,skip,tetrahedron_alpha
4,0,not_enough_blocks,233,skip,tetrahedron_alpha
4,0,not_enough_blocks,234,skip,tetrahedron_alpha
4,1,not_enough_blocks,235,skip,tetrahedron_alpha
4,1,not_enough_blocks,236,skip,tetrahedron_alpha
4,0,not_enough_blocks,237,skip,tetrahedron_alpha
4,0,not_enough_blocks,238,skip,tetrahedron_alpha
4,0,not_enough_blocks,239,skip,tetrahedron_alpha
4,1,not_enough_blocks,240,skip,tetrahedron_alpha
4,1,not_enough_blocks,241,skip,tetrahedron_alpha
4,0,not_enough_blocks,242,skip,tetrahedron_alpha
4,0,not_enough_blocks,243,skip,tetrahedron_alpha
4,1,not_enough_blocks,244,skip,tetrahedron_alpha
4,0,not_enough_blocks,245,skip,tetrahedron_alpha
4,1,not_enough_blocks,246,skip,tetrahedron_alpha
4,1,not_enough_blocks,247,skip,tetrahedron_alpha
4,1,not_enough_blocks,248,skip,tetrahedron_alpha
4,0,not_enough_blocks,249,skip,tetrahedron_alpha
4,0,not_enough_blocks,250,skip,tetrahedron_alpha
4,0,not_enough_blocks,251,skip,tetrahedron_alpha
4,0,not_enough_blocks,252,skip,tetrahedron_alpha
4,0,not_enough_blocks,253,skip,tetrahedron_alpha
4,0,not_enough_blocks,254,skip,tetrahedron_alpha
4,0,not_enough_blocks,255,skip,tetrahedron_alpha
4,0,not_enough_blocks,256,skip,tetrahedron_alpha
4,0,not_enough_blocks,257,skip,tetrahedron_alpha
4,0,not_enough_blocks,258,skip,tetrahedron_alpha
4,0,not_enough_blocks,259,skip,tetrahedron_alpha
4,0,not_enough_blocks,260,skip,tetrahedron_alpha
4,0,not_enough_blocks,261,skip,tetrahedron_alpha
4,0,not_enough_blocks,262,skip,tetrahedron_alpha
4,0,not_enough_blocks,263,skip,tetrahedron_alpha
4,0,not_enough_blocks,264,skip,tetrahedron_alpha
4,0,not_enough_blocks,265,skip,tetrahedron_alpha
4,0,not_enough_blocks,266,skip,tetrahedron_alpha
4,1,not_enough_blocks,267,skip,tetrahedron_alpha
4,1,not_enough_blocks,268,skip,tetrahedron_alpha
4,0,not_enough_blocks,269,skip,tetrahedron_alpha
4,0,not_enough_blocks,270,skip,tetrahedron_alpha
4,0,not_enough_blocks,271,skip,tetrahedron_alpha
4,0,not_enough_blocks,272,skip,tetrahedron_alpha
4,1,not_enough_blocks,273,skip,tetrahedron_alpha
4,0,not_enough_blocks,274,skip,tetrahedron_alpha
4,1,not_enough_blocks,275,skip,tetrahedron_alpha
4,0,not_enough_blocks,276,skip,tetrahedron_alpha
4,2,not_enough_blocks,277,skip,tetrahedron_alpha
4,0,not_enough_blocks,278,skip,tetrahedron_alpha
4,1,not_enough_blocks,279,skip,tetrahedron_alpha
4,0,not_enough_blocks,280,skip,tetrahedron_alpha
4,0,not_enough_blocks,281,skip,tetrahedron_alpha
4,0,not_enough_blocks,282,skip,tetrahedron_alpha
4,1,not_enough_blocks,283,skip,tetrahedron_alpha
4,0,not_enough_blocks,284,skip,tetrahedron_alpha
4,1,not_enough_blocks,285,skip,tetrahedron_alpha
4,1,not_enough_blocks,286,skip,tetrahedron_alpha
4,2,not_enough_blocks,287,skip,tetrahedron_alpha
4,0,not_enough_blocks,288,skip,tetrahedron_alpha
4,0,not_enough_blocks,289,skip,tetrahedron_alpha
4,0,not_enough_blocks,290,skip,tetrahedron_alpha
4,1,not_enough_blocks,291,skip,tetrahedron_alpha
4,0,not_enough_blocks,292,skip,tetrahedron_alpha
4,1,not_enough_blocks,293,skip,tetrahedron_alpha
4,0,not_enough_blocks,294,skip,tetrahedron_alpha
4,0,not_enough_blocks,295,skip,tetrahedron_alpha
4,0,not_enough_blocks,296,skip,tetrahedron_alpha
4,0,not_enough_blocks,297,skip,tetrahedron_alpha
4,0,not_enough_blocks,298,skip,tetrahedron_alpha
4,0,not_enough_blocks,299,skip,tetrahedron_alpha
4,0,not_enough_blocks,300,skip,tetrahedron_alpha
4,0,not_enough_blocks,301,skip,tetrahedron_alpha
4,0,not_enough_blocks,302,skip,tetrahedron_alpha
4,0,not_enough_blocks,303,skip,tetrahedron_alpha
4,0,not_enough_blocks,304,skip,tetrahedron_alpha
4,2,not_enough_blocks,305,skip,tetrahedron_alpha
4,1,not_enough_blocks,306,skip,tetrahedron_alpha
4,1,not_enough_blocks,307,skip,tetrahedron_alpha
4,0,not_enough_blocks,308,skip,tetrahedron_alpha
4,0,not_enough_blocks,309,skip,tetrahedron_alpha
4,0,not_enough_blocks,310,skip,tetrahedron_alpha
4,0,not_enough_blocks,311,skip,tetrahedron_alpha
4,0,not_enough_blocks,312,skip,tetrahedron_alpha
4,0,not_enough_blocks,313,skip,tetrahedron_alpha
4,0,not_enough_blocks,314,skip,tetrahedron_alpha
4,0,not_enough_blocks,315,skip,tetrahedron_alpha
4,1,not_enough_blocks,316,skip,tetrahedron_alpha
4,0,not_enough_blocks,317,skip,tetrahedron_alpha
4,1,not_enough_blocks,318,skip,tetrahedron_alpha
4,1,not_enough_blocks,319,skip,tetrahedron_alpha
4,0,not_enough_blocks,320,skip,tetrahedron_alpha
4,0,not_enough_blocks,321,skip,tetrahedron_alpha
4,0,not_enough_blocks,322,skip,tetrahedron_alpha
4,0,not_enough_blocks,323,skip,tetrahedron_alpha
4,0,not_enough_blocks,324,skip,tetrahedron_alpha
4,0,not_enough_blocks,325,skip,tetrahedron_alpha
4,1,not_enough_blocks,326,skip,tetrahedron_alpha
4,0,not_enough_blocks,327,skip,tetrahedron_alpha
4,1,not_enough_blocks,328,skip,tetrahedron_alpha
4,1,not_enough_blocks,329,skip,tetrahedron_alpha
4,1,not_enough_blocks,330,skip,tetrahedron_alpha
4,0,not_enough_blocks,331,skip,tetrahedron_alpha
4,0,not_enough_blocks,332,skip,tetrahedron_alpha
4,0,not_enough_blocks,333,skip,tetrahedron_alpha
4,0,not_enough_blocks,334,skip,tetrahedron_alpha
4,0,not_enough_blocks,335,skip,tetrahedron_alpha
4,0,not_enough_blocks,336,skip,tetrahedron_alpha
4,0,not_enough_blocks,337,skip,tetrahedron_alpha
4,0,not_enough_blocks,338,skip,tetrahedron_alpha
4,0,not_enough_blocks,339,skip,tetrahedron_alpha
4,0,not_enough_blocks,340,skip,tetrahedron_alpha
4,0,not_enough_blocks,341,skip,tetrahedron_alpha
4,0,not_enough_blocks,342,skip,tetrahedron_alpha
4,0,not_enough_blocks,343,skip,tetrahedron_alpha
4,0,not_enough_blocks,344,skip,tetrahedron_alpha
4,0,not_enough_blocks,345,skip,tetrahedron_alpha
4,1,not_enough_blocks,346,skip,tetrahedron_alpha
4,1,not_enough_blocks,347,skip,tetrahedron_alpha
4,1,not_enough_blocks,348,skip,tetrahedron_alpha
4,0,not_enough_blocks,349,skip,tetrahedron_alpha
4,1,not_enough_blocks,350,skip,tetrahedron_alpha
4,0,not_enough_blocks,351,skip,tetrahedron_alpha
4,0,not_enough_blocks,352,skip,tetrahedron_alpha
4,0,not_enough_blocks,353,skip,tetrahedron_alpha
4,0,not_enough_blocks,354,skip,tetrahedron_alpha
4,0,not_enough_blocks,355,skip,tetrahedron_alpha
4,0,not_enough_blocks,356,skip,tetrahedron_alpha
4,0,not_enough_blocks,357,skip,tetrahedron_alpha
4,0,not_enough_blocks,358,skip,tetrahedron_alpha
4,1,not_enough_blocks,359,skip,tetrahedron_alpha
4,0,not_enough_blocks,360,skip,tetrahedron_alpha
4,1,not_enough_blocks,361,skip,tetrahedron_alpha
4,0,not_enough_blocks,362,skip,tetrahedron_alpha
4,0,not_enough_blocks,363,skip,tetrahedron_alpha
4,0,not_enough_blocks,364,skip,tetrahedron_alpha
4,0,not_enough_blocks,365,skip,tetrahedron_alpha
4,0,not_enough_blocks,366,skip,tetrahedron_alpha
4,0,not_enough_blocks,367,skip,tetrahedron_alpha
4,0,not_enough_blocks,368,skip,tetrahedron_alpha
4,0,not_enough_blocks,369,skip,tetrahedron_alpha
4,0,not_enough_blocks,370,skip,tetrahedron_alpha
4,0,not_enough_blocks,371,skip,tetrahedron_alpha
4,0,not_enough_blocks,372,skip,tetrahedron_alpha
4,0,not_enough_blocks,373,skip,tetrahedron_alpha
4,0,not_enough_blocks,374,skip,tetrahedron_alpha
4,1,not_enough_blocks,375,skip,tetrahedron_alpha
4,0,not_enough_blocks,376,skip,tetrahedron_alpha
4,0,not_enough_blocks,377,skip,tetrahedron_alpha
4,0,not_enough_blocks,378,skip,tetrahedron_alpha
4,0,not_enough_blocks,379,skip,tetrahedron_alpha
4,0,not_enough_blocks,380,skip,tetrahedron_alpha
4,2,not_enough_blocks,381,skip,tetrahedron_alpha
4,1,not_enough_blocks,382,skip,tetrahedron_alpha
4,0,not_enough_blocks,383,skip,tetrahedron_alpha
4,0,not_enough_blocks,384,skip,tetrahedron_alpha
4,1,not_enough_blocks,385,skip,tetrahedron_alpha
4,2,not_enough_blocks,386,skip,tetrahedron_alpha
4,0,not_enough_blocks,387,skip,tetrahedron_alpha
4,0,not_enough_blocks,388,skip,tetrahedron_alpha
4,0,not_enough_blocks,389,skip,tetrahedron_alpha
4,1,not_enough_blocks,390,skip,tetrahedron_alpha
4,0,not_enough_blocks,391,skip,tetrahedron_alpha
4,0,not_enough_blocks,392,skip,tetrahedron_alpha
4,0,not_enough_blocks,393,skip,tetrahedron_alpha
4,0,not_enough_blocks,394,skip,tetrahedron_alpha
4,0,not_enough_blocks,395,skip,tetrahedron_alpha
4,0,not_enough_blocks,396,skip,tetrahedron_alpha
4,0,not_enough_blocks,397,skip,tetrahedron_alpha
4,0,not_enough_blocks,398,skip,tetrahedron_alpha
4,0,not_enough_blocks,399,skip,tetrahedron_alpha
4,0,not_enough_blocks,400,skip,tetrahedron_alpha
4,0,not_enough_blocks,401,skip,tetrahedron_alpha
4,0,not_enough_blocks,402,skip,tetrahedron_alpha
4,1,not_enough_blocks,403,skip,tetrahedron_alpha
4,0,not_enough_blocks,404,skip,tetrahedron_alpha
4,0,not_enough_blocks,405,skip,tetrahedron_alpha
4,1,not_enough_blocks,406,skip,tetrahedron_alpha
4,0,not_enough_blocks,407,skip,tetrahedron_alpha
4,0,not_enough_blocks,408,skip,tetrahedron_alpha
4,0,not_enough_blocks,409,skip,tetrahedron_alpha
4,0,not_enough_blocks,410,skip,tetrahedron_alpha
4,0,not_enough_blocks,411,skip,tetrahedron_alpha
4,0,not_enough_blocks,412,skip,tetrahedron_alpha
4,2,not_enough_blocks,413,skip,tetrahedron_alpha
4,1,not_enough_blocks,414,skip,tetrahedron_alpha
4,0,not_enough_blocks,415,skip,tetrahedron_alpha
