run_id,best_target,best_d_total,structure_tier,s2_state,band_count_structural,band_count,lock_quality_Q,lock_quality_S1,lock_quality_S2,reasons,selection_config_path,selection_config_hash
1660,delta_1900,0.01599171006680478,level1,none,1.0,1.0,0.9991142279769155,0.0001378310565874427,0.0007479409664969478,policy_rejected,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1405,lambda_c_2860,0.525105493395773,level1,none,1.0,1.0,0.9996662664042537,4.948122384080982e-05,0.00028425237190548815,,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1775,xi_c_plus,3.1165579619534762,level1,none,1.0,1.0,0.9996386574222732,0.0003171881342230824,4.415444350351887e-05,,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
884,delta_1920,0.01586910135327147,level1,none,2.0,2.0,0.9995346570586047,0.00018677802817696593,0.0002785649132183379,,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
639,lambda_c_2765,0.322266139177337,level1,none,1.0,1.0,0.9987575321966567,0.0008650950908018141,0.000377372712541599,dof_grade_not_a;policy_rejected,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
579,delta_1930,0.09107728922306466,level1,none,1.0,1.0,0.999783526254706,3.565062133134059e-05,0.0001808231239626931,dof_grade_not_a;policy_rejected,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
628,lambda_c_2765,3.762114184178857,level1,none,1.0,1.0,0.9998714222235953,1.9483521010745292e-05,0.00010909425539411148,policy_rejected,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
547,delta_1910,0.045122987297539524,level1,none,2.0,2.0,0.9989754869944681,0.00017579206270002312,0.0008487209428317893,dof_grade_not_a,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1334,delta_1700,0.19743072449022478,level1,latent,1.0,1.0,0.9981092122513324,0.0002109732153800802,0.001679814533287488,dof_grade_not_a,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1928,lambda_c_2765,0.10019119399808701,level1,none,1.0,1.0,0.9987364702737512,0.0009676819309112633,0.00029584779533737394,dof_grade_not_a;policy_rejected,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
