entity_id,template_name,node_count,edge_count,density,degree_mean,degree_std,ola,lineage,genes_inherited,genes_olaX,robustness_score,taxonomy_version,taxonomy_kingdom,taxonomy_family_id,is_candidate,was_swept,sweep_evals_planned,sweep_evals_total,seed_evals_total,seed_success_count,sweep_passed_total,sweep_passed_any,sweep_passed,sweep_seeds_total,sweep_attempted,nan_primary_total,nan_primary_count,nan_primary_rate,seed_success_rate,H_part_norm_mean,H_part_norm_std,PE_lockS1_norm_mean,PE_lockS1_norm_std,R_network_S1_mean,R_network_S1_std,R_mean_lastW_mean,phase_var_lastW_mean,QualityLock_mean,H_part_norm_mean_mean,H_part_norm_mean_std,PE_lockS1_norm_mean_mean,PE_lockS1_norm_mean_std,R_network_S1_mean_mean,R_network_S1_mean_std,robust_score_v1,bins_used_count,H_part_over_bins_std,PE_lock_over_bins_std,R_network_over_bins_std,robust_score_v2,runtime_sec_mean,runtime_sec_p95,pQ_mean,pS1_mean,pS2_mean,best_eval_id
f9364607cecd42a976f90e4f879f943295d38b53ae1f9924040567afe7e152de,ladder_5,10,13,0.28888888888888886,2.6,0.5163977794943222,4,{},{},{},,,,,False,False,0,0,0,0,0,False,False,0,False,0,0,,,,,,,,,0.7950253723958917,0.0010000319811790978,0.9435331488647545,,,,,,,,0,,,,,,,,,,
9bbfe0cb2d50c441e434f7366dbe4655965aa6a0b79ac3b33c23c93c9c13fe7e,ring_9,9,9,0.25,2.0,0.0,4,{},{},{},,,,,True,True,4,4,4,4,4,True,True,4,True,0,0,0.0,1.0,0.5027610865915604,0.06064864992610691,0.2389411363920538,0.04909967761974342,0.43289860374744127,0.023470183353883612,0.9667289296323577,8.147946320635805e-05,0.9970149790739382,0.5027610865915604,0.06064864992610691,0.2389411363920538,0.04909967761974342,0.43289860374744127,0.023470183353883612,0.7945114082860105,1,0.0,0.0,0.0,1.0,330.3322111632442,332.1871392552275,0.6841775367797771,0.04167185385437245,0.27415060845698297,77564d34435aa296248f53d25181014d2d3f6feafe0a2c6a02b42695b733c962
756f1ae9e4b49bbcc14842349e9c82a075803e9413a7a869a2eb8a92732e2d0f,ring_12,12,12,0.18181818181818182,2.0,0.0,4,{},{},{},,,,,False,False,0,0,0,0,0,False,False,0,False,0,0,,,,,,,,,0.7407771933866024,0.002483829716303406,0.9373058067349065,,,,,,,,0,,,,,,,,,,
536e3d1cfcbd238a2ed255c7665c08c0aef6941670fe0b13530027829fa5c1c3,ring_10,10,10,0.2222222222222222,2.0,0.0,4,{},{},{},,,,,False,False,0,0,0,0,0,False,False,0,False,0,0,,,,,,,,,0.185435315894058,0.017411496349518062,0.9719633560876431,,,,,,,,0,,,,,,,,,,
f55cd439feec34682570a8339b709760aad9c2c920bfdfcfbcc40030f0391acf,ladder_6,12,16,0.24242424242424243,2.6666666666666665,0.49236596391733095,4,{},{},{},,,,,False,False,0,0,0,0,0,False,False,0,False,0,0,,,,,,,,,0.8328654852730066,0.013850822706486628,0.8964972064382676,,,,,,,,0,,,,,,,,,,
cc3d000650f198d25538aa6f26c9e4a5cc4c06f46a904ebb78a9a7eb82293f2a,ring_12,12,12,0.18181818181818182,2.0,0.0,4,{},{},{},,,,,False,False,0,0,0,0,0,False,False,0,False,0,0,,,,,,,,,0.7750904837494969,0.0005573462091546889,0.9725736868107723,,,,,,,,0,,,,,,,,,,
dad94ed6e5149f644f77721301ca639d0c49455bf54d4472546acffb57a6580a,bipartite_5_5,10,25,0.5555555555555556,5.0,0.0,4,{},{},{},,,,,True,True,4,4,4,4,4,True,True,4,True,0,0,0.0,1.0,0.6112862624511607,0.12141300217321525,0.35135082420163416,0.0012331197352394244,0.39763014121711615,0.028738183088002408,0.9909884927304109,0.0077160363661785015,0.9886223646095116,0.6112862624511607,0.12141300217321525,0.35135082420163416,0.0012331197352394244,0.39763014121711615,0.028738183088002408,0.927726346398095,1,0.0,0.0,0.0,1.0,362.134505074413,365.96081795564385,0.3377501223937108,0.5144110236156791,0.14783885364869984,ac597412dfa4e4754fef838cc4e63554aed3dd8b068b978e6dcc198dff162fe6
90a901162fd5714882d11afc2258b372b986eeec3e417b29f415c5fb77717ae4,ring_11,11,11,0.2,2.0,0.0,4,{},{},{},,,,,True,True,4,4,4,4,4,True,True,4,True,0,0,0.0,1.0,0.5246840201297764,0.09452105019128813,0.47650886934501324,0.1808567662413508,0.386255844861538,0.03252474375030703,0.9687527398381549,0.00019704204468368796,0.9927622185231048,0.5246840201297764,0.09452105019128813,0.47650886934501324,0.1808567662413508,0.386255844861538,0.03252474375030703,0.6204545646968795,1,0.0,0.0,0.0,1.0,401.0308507728041,402.34578049747506,0.38906543510634023,0.02194396122695559,0.5889906033209087,895b4b5afd0721e3364cf76d40f4585a48492d41ca23e3daaf418ad7817006db
6d34c42ff2fe0dd9e2a35dfaa682732e8eaec526d54049c21ef2806e79ebe0d7,ladder_5,10,13,0.28888888888888886,2.6,0.5163977794943222,4,{},{},{},,,,,True,True,4,4,4,4,4,True,True,4,True,0,0,0.0,1.0,0.49600953950583215,0.016716576571212435,0.24635913062315357,0.04694999114805328,0.41873054535587356,0.02587548775206379,0.9774842109566898,0.00040218075981164966,0.9981862112955604,0.49600953950583215,0.016716576571212435,0.24635913062315357,0.04694999114805328,0.41873054535587356,0.02587548775206379,0.8094245947804104,1,0.0,0.0,0.0,1.0,364.9956916900119,372.73761459190865,0.7112265117650314,0.060739512180544894,0.22803397541210063,adcfb927f99179cffe5b2fa4c79ecbda46fd0882fb756747b1a2ef176ba584c6
2d098ae1dbe8b5c5e4fb880a0cc6a248f21bca906c365180ada4dc53a842e416,ring_12,12,12,0.18181818181818182,2.0,0.0,4,{},{},{},,,,,False,False,0,0,0,0,0,False,False,0,False,0,0,,,,,,,,,0.231193794780328,0.0014190746990436823,0.9712248979567389,,,,,,,,0,,,,,,,,,,
