Nucleon_like_d_spacing,Nucleon_like_d_total,Nucleon_like_has_enough_levels,Nucleon_like_is_match,Nucleon_like_n_levels_sim,Pion_like_d_spacing,Pion_like_d_total,Pion_like_has_enough_levels,Pion_like_is_match,Pion_like_n_levels_sim,R_S1_Q,R_S2_S1,R_S3_S2,Rho_like_d_spacing,Rho_like_d_total,Rho_like_has_enough_levels,Rho_like_is_match,Rho_like_n_levels_sim,band_count,first_energy,has_s2_dominant,s2_band_fraction,s3_band_fraction,second_energy,spacing_mean,spacing_std,third_energy
7.697231921,7.697231921,TRUE,FALSE,5,4.589844551,4.589844551,TRUE,FALSE,5,2.61505644,1.762221372,9.134810481,8.189720333,8.189720333,TRUE,FALSE,5,5,0.666666667,1,0.2,0,0.761904762,0.571428571,0.494871659,2
nan,nan,FALSE,FALSE,3,3.564455929,3.564455929,TRUE,FALSE,3,2.892612596,2.368710479,6.168813875,2.142857143,2.142857143,TRUE,FALSE,3,3,1.333333333,0,0,0,1.666666667,0.333333333,2.22E-16,2
nan,nan,FALSE,FALSE,3,3.769533653,3.769533653,TRUE,FALSE,3,2.389788739,2.39623578,9.123628157,2.142857143,2.142857143,TRUE,FALSE,3,3,1.428571429,0,0,0,1.714285714,0.285714286,2.22E-16,2
nan,nan,FALSE,FALSE,3,3.564455929,3.564455929,TRUE,FALSE,3,2.727352487,2.209433313,5.780184469,2.142857143,2.142857143,TRUE,FALSE,3,3,1.333333333,0,0,0,1.666666667,0.333333333,0,2
nan,nan,FALSE,FALSE,3,4.425782372,4.425782372,TRUE,FALSE,3,2.646941424,2.395922468,2.345860247,7.081128748,7.081128748,TRUE,FALSE,3,3,0.8,0,0,0,0.933333333,0.6,0.466666667,2
nan,nan,FALSE,FALSE,3,1.500861326,1.500861326,TRUE,FALSE,3,2.50760974,2.034925237,9.665486449,3.267195767,3.267195767,TRUE,FALSE,3,3,0.4375,1,0.333333333,0,1.25,0.78125,0.03125,2
1.842265068,1.842265068,TRUE,FALSE,4,3.769533653,3.769533653,TRUE,FALSE,4,2.181000369,2.147729355,9.665044832,2.142857143,2.142857143,TRUE,FALSE,4,4,1.428571429,0,0,0,1.714285714,0.285714286,1.06E-16,2
nan,nan,FALSE,FALSE,3,3.564455929,3.564455929,TRUE,FALSE,3,2.850257771,2.498949717,3.286798541,2.142857143,2.142857143,TRUE,FALSE,3,3,1.333333333,0,0,0,1.666666667,0.333333333,2.22E-16,2
7.444208289,7.444208289,TRUE,FALSE,5,4.569336779,4.569336779,TRUE,FALSE,5,2.707659429,1.596039433,4.333240034,7.962962963,7.962962963,TRUE,FALSE,5,5,0.7,0,0,0,0.8,0.375,0.476313972,2
4.150399911,4.150399911,TRUE,FALSE,5,0.466702933,0.466702933,TRUE,TRUE,5,2.488714639,1.729874755,8.863192202,2.869674185,2.869674185,TRUE,FALSE,5,5,0.842105263,0,0,0,1.894736842,0.342105263,0.41022256,2
7.16455059,7.16455059,TRUE,FALSE,4,4.546670293,4.546670293,TRUE,FALSE,4,2.739897125,1.616570268,7.30873447,7.712336397,7.712336397,TRUE,FALSE,4,4,0.736842105,0,0,0,0.842105263,0.456140351,0.496215285,2
nan,nan,FALSE,FALSE,2,2.136704811,2.136704811,TRUE,FALSE,2,2.388004693,2.473629966,9.224762553,nan,nan,FALSE,FALSE,2,2,0.342857143,1,0.5,0,2,nan,nan,nan
3.591084513,3.591084513,TRUE,FALSE,5,0.92003264,0.92003264,TRUE,TRUE,5,2.036946626,1.832839738,9.3721414,2.31272626,2.31272626,TRUE,FALSE,5,5,0.947368421,0,0,0,1.894736842,0.315789474,0.364642275,2
nan,nan,FALSE,FALSE,3,4.138673557,4.138673557,TRUE,FALSE,3,2.126629422,1.764141361,8.568506738,2.883597884,2.883597884,TRUE,FALSE,3,3,1.6,0,0,0,1.8,0.2,0,2
4.398984532,4.398984532,TRUE,FALSE,6,0.214853096,0.214853096,TRUE,TRUE,6,2.831857634,1.82794174,2.073443748,3.148148148,3.148148148,TRUE,FALSE,6,6,0.777777778,0,0,0,1.888888889,0.311111111,0.4,2
5.673042862,5.673042862,TRUE,FALSE,5,4.282227964,4.282227964,TRUE,FALSE,5,2.517052429,2.455612039,3.613315929,6.552028219,6.552028219,TRUE,FALSE,5,5,0.833333333,0,0,0,1,0.458333333,0.341056365,2
6.685137392,6.685137392,TRUE,FALSE,5,4.384766827,4.384766827,TRUE,FALSE,5,2.484157583,2.240842837,6.249724689,7.433862434,7.433862434,TRUE,FALSE,5,5,0.714285714,0,0,0,0.857142857,0.392857143,0.433012702,2
nan,nan,FALSE,FALSE,3,4.52148531,4.52148531,TRUE,FALSE,3,2.383538364,1.802058797,5.46058259,7.433862434,7.433862434,TRUE,FALSE,3,3,0.777777778,0,0,0,0.888888889,0.611111111,0.5,2
3.763181558,3.763181558,TRUE,FALSE,4,0.362088385,0.362088385,TRUE,TRUE,4,2.616065653,2.410742786,2.572939088,2.741147741,2.741147741,TRUE,FALSE,4,4,0.769230769,0,0,0,1.846153846,0.461538462,0.435142635,2
4.700926066,4.700926066,TRUE,FALSE,4,0.693367786,0.693367786,TRUE,TRUE,4,2.151604175,2.37541056,4.310193828,2.392290249,2.392290249,TRUE,FALSE,4,4,0.857142857,0,0,0,1.857142857,0.523809524,0.356348323,2
nan,nan,FALSE,FALSE,2,0.742176285,0.742176285,TRUE,TRUE,2,2.743042214,2.461026474,2.370151646,nan,nan,FALSE,FALSE,2,2,0.666666667,0,0,0,2,nan,nan,nan
7.089975204,7.089975204,TRUE,FALSE,4,4.425782372,4.425782372,TRUE,FALSE,4,2.604579849,2.306227918,9.084273015,7.78659612,7.78659612,TRUE,FALSE,4,4,0.666666667,0,0,0,0.8,0.488888889,0.502831489,2
nan,nan,FALSE,FALSE,3,3.564455929,3.564455929,TRUE,FALSE,3,2.520297492,2.217871625,7.546963264,2.142857143,2.142857143,TRUE,FALSE,3,3,1.333333333,0,0,0,1.666666667,0.333333333,1.11E-16,2
nan,nan,FALSE,FALSE,2,2.093276587,2.093276587,TRUE,FALSE,2,2.72489616,1.989154712,4.190956714,nan,nan,FALSE,FALSE,2,2,0.352941176,1,0.5,0,2,nan,nan,nan
5.154574437,5.154574437,TRUE,FALSE,6,4.216975961,4.216975961,TRUE,FALSE,6,2.181339309,2.493281643,9.474735081,5.990860991,5.990860991,TRUE,FALSE,6,6,0.909090909,0,0,0,1.090909091,0.363636364,0.281671516,2
1.865037194,1.865037194,TRUE,FALSE,4,3.923341947,3.923341947,TRUE,FALSE,4,2.665948115,1.66591165,8.746945654,2.354497354,2.354497354,TRUE,FALSE,4,4,1.5,0,0,0,1.75,0.25,0,2
1.865037194,1.865037194,TRUE,FALSE,4,3.923341947,3.923341947,TRUE,FALSE,4,2.580252403,1.798395248,8.438369902,2.354497354,2.354497354,TRUE,FALSE,4,4,1.5,0,0,0,1.75,0.25,1.05E-16,2
