run_id,best_target,best_family,best_d_total
1649.0,delta_1232,delta_like,2.851207655183669
1650.0,pion,pion_like,0.0
1651.0,pion,pion_like,0.0
1652.0,proton,nucleon_like,0.01996007944191903
1653.0,delta_1232,delta_like,0.0
1654.0,phi,phi_like,0.9999999500000034
1655.0,delta_1232,delta_like,10.531440960771064
1656.0,rho,rho_like,0.12345678829446856
1657.0,delta_1232,delta_like,0.7246376647500483
1658.0,delta_1232,delta_like,7.741921439115185
1659.0,pion,pion_like,0.0
1660.0,delta_1232,delta_like,15.180640163530887
1661.0,phi,phi_like,0.999999950000009
1662.0,rho,rho_like,0.12345678829446527
1663.0,proton,nucleon_like,0.0
1664.0,delta_1232,delta_like,0.7850241368125611
1665.0,delta_1232,delta_like,3.804347739937785
1666.0,quark_ud_const,quark_like,7.734447704316413
1667.0,pion,pion_like,0.0
1668.0,delta_1232,delta_like,0.0
1669.0,proton,nucleon_like,2.4395652601534006
1670.0,kaon,kaon_like,5.107445446200124
1671.0,phi,phi_like,5.166666408333343
1672.0,delta_1232,delta_like,5.669224083044532
1673.0,delta_1232,delta_like,6.591415681284137
1674.0,proton,nucleon_like,2.84615945594817
1675.0,rho,rho_like,0.12345678829446527
1676.0,pion,pion_like,0.0
1677.0,delta_1232,delta_like,17.03249196908645
1678.0,pion,pion_like,0.0
1679.0,pion,pion_like,0.0
1680.0,delta_1232,delta_like,2.851207655183676
1681.0,phi,phi_like,0.9999999500000034
1682.0,proton,nucleon_like,2.4395652601534006
1683.0,pion,pion_like,0.0
1684.0,delta_1232,delta_like,3.0888082960091667
1685.0,proton,nucleon_like,4.300288204293466
1686.0,delta_1232,delta_like,2.8512076551836714
1687.0,delta_1232,delta_like,3.088808296009162
1688.0,delta_1232,delta_like,3.804347739937785
1689.0,delta_1232,delta_like,0.0
1690.0,delta_1232,delta_like,7.741921439115178
1691.0,delta_1232,delta_like,2.851207655183676
1692.0,delta_1232,delta_like,17.099188667538304
1693.0,phi,phi_like,0.9999999500000034
1694.0,delta_1232,delta_like,8.857729247777536
1695.0,phi,phi_like,0.9999999500000034
1696.0,delta_1232,delta_like,0.0
1697.0,delta_1232,delta_like,3.804347739937775
1698.0,delta_1232,delta_like,3.088808296009165
1699.0,pion,pion_like,0.0
1700.0,quark_s_const,quark_like,3.8053096774336304
1701.0,proton,nucleon_like,2.4395652601534175
1702.0,delta_1232,delta_like,2.8512076551836705
1703.0,quark_ud_const,quark_like,8.969245506338781
1704.0,delta_1232,delta_like,2.851207655183676
1705.0,delta_1232,delta_like,6.34716167828723
1706.0,delta_1232,delta_like,4.553899128651306
1707.0,delta_1232,delta_like,0.0
1708.0,delta_1232,delta_like,16.883091364554268
1709.0,pion,pion_like,0.0
1710.0,delta_1232,delta_like,7.74192143911518
1711.0,proton,nucleon_like,2.846159455948183
1712.0,pion,pion_like,0.0
1713.0,delta_1232,delta_like,6.347161678287236
1714.0,delta_1232,delta_like,0.0
1715.0,proton,nucleon_like,2.439565260153411
1716.0,delta_1232,delta_like,2.851207655183673
1717.0,pion,pion_like,0.0
1718.0,proton,nucleon_like,2.846159455948183
1719.0,delta_1232,delta_like,2.851207655183673
1720.0,delta_1232,delta_like,3.0888082960091667
1721.0,pion,pion_like,0.0
1722.0,pion,pion_like,0.0
1723.0,phi,phi_like,0.9999999500000034
1724.0,delta_1232,delta_like,2.851207655183673
1725.0,proton,nucleon_like,2.439565260153411
1726.0,delta_1232,delta_like,10.531440960771068
1727.0,pion,pion_like,0.0
1728.0,quark_ud_const,quark_like,8.96924550633878
1729.0,proton,nucleon_like,11.925643367498122
