R_S1_Q,R_S2_S1,R_S3_S2,band_count,band_energies_gev,delta_like_d_spacing,delta_like_d_total,delta_like_has_enough_levels,delta_like_is_match,delta_like_n_levels_sim,first_energy,has_s2_dominant,has_s3_dominant,kaon_like_d_spacing,kaon_like_d_total,kaon_like_has_enough_levels,kaon_like_is_match,kaon_like_n_levels_sim,lock_quality_Q,lock_quality_S1,lock_quality_S2,nucleon_like_d_spacing,nucleon_like_d_total,nucleon_like_has_enough_levels,nucleon_like_is_match,nucleon_like_n_levels_sim,pion_like_d_spacing,pion_like_d_total,pion_like_has_enough_levels,pion_like_is_match,pion_like_n_levels_sim,quark_like_d_spacing,quark_like_d_total,quark_like_has_enough_levels,quark_like_is_match,quark_like_n_levels_sim,rho_like_d_spacing,rho_like_d_total,rho_like_has_enough_levels,rho_like_is_match,rho_like_n_levels_sim,run_id,s2_band_fraction,s2_state,s2_total_fraction,s3_band_fraction,s3_state,s3_total_fraction,second_energy,spacing_mean,spacing_std,structure_tier,third_energy
7.457309989162495,2.4260854524218,,2,"[1.8181818181818183, 2.0]",nan,nan,False,False,2,1.8181818181818183,0,0,3.834498834498835,3.834498834498835,True,False,2,0.9978901734051211,0.0021085369877564923,1.2896071223625184e-06,nan,nan,False,False,2,4.216300940438872,4.216300940438872,True,False,2,3.0657640232108334,3.0657640232108334,True,False,2,nan,nan,False,False,2,0,0.0,none,1.2896071223625184e-06,0.0,absent,,2.0,nan,nan,level1,nan
7.82465912794992,9.348418288956681,,3,"[0.6666666666666666, 1.3333333333333333, 2.0]",4.950248756218907,4.950248756218907,True,False,3,0.6666666666666666,0,0,0.7264957264957268,0.7264957264957268,True,True,3,0.9990987861056589,0.0009005021982169283,7.116961240861034e-07,nan,nan,False,False,3,2.126436781609196,2.126436781609196,True,False,3,2.092198581560283,2.092198581560283,True,False,3,2.1578947368421053,2.1578947368421053,True,False,3,1,0.0,none,0.0001637088826529342,0.0,absent,,1.3333333333333333,0.6666666666666667,7.850462293418876e-17,level1,2.0
8.680037545327732,6.930113067624021,,3,"[1.0, 1.5, 2.0]",2.46268656716418,2.46268656716418,True,False,3,1.0,0,0,1.7948717948717947,1.7948717948717947,True,False,3,0.9998600875847107,0.0001395724461986414,3.399690906742724e-07,nan,nan,False,False,3,2.844827586206897,2.844827586206897,True,False,3,0.3191489361702124,0.3191489361702124,True,True,3,2.157894736842105,2.157894736842105,True,False,3,2,0.0,none,0.0006179899669885541,0.0,absent,,1.5,0.5,0.0,level1,2.0
4.547769672162419,9.1816619697628,,1,[2.0],nan,nan,False,False,1,2.0,0,0,nan,nan,False,False,1,0.9999857392039999,1.3069951778067592e-05,1.1908442219623833e-06,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,3,0.0,none,1.1908442219623833e-06,0.0,absent,,nan,nan,nan,level1,nan
4.962227664786382,4.625259605337917,,5,"[0.4242424242424242, 0.4848484848484848, 2.0, 2.0606060606060606, 2.121212121212121]",11.377204884667574,11.377204884667574,True,False,5,0.4242424242424242,0,0,4.611499611499611,4.611499611499611,True,False,5,0.40000073495077404,0.5993953685743312,0.0006038964748948113,9.542230818826564,9.542230818826564,True,False,5,4.73876698014629,4.73876698014629,True,False,5,4.35525467440361,4.35525467440361,True,False,5,9.813397129186603,9.813397129186603,True,False,5,4,0.0,none,0.0006038964748948113,0.0,absent,,0.4848484848484848,0.4242424242424242,0.6298366572977735,none,2.0
8.276367637131441,9.162897005015152,,1,[2.0],nan,nan,False,False,1,2.0,0,0,nan,nan,False,False,1,0.999896787155585,0.00010319760486486584,1.5239550219289377e-08,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,5,0.0,none,1.5239550219289377e-08,0.0,absent,,nan,nan,nan,level1,nan
6.917225494634461,9.690944240383548,,1,[2.0],nan,nan,False,False,1,2.0,0,0,nan,nan,False,False,1,0.9999793408324062,2.0651946297449504e-05,7.221296362879443e-09,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,nan,nan,False,False,1,6,0.0,none,7.221296362879443e-09,0.0,absent,,nan,nan,nan,level1,nan
4.676757814526718,4.92050328845131,,2,"[1.75, 2.0]",nan,nan,False,False,2,1.75,0,0,3.397435897435897,3.397435897435897,True,False,2,0.9996421771628747,0.00035662860275007826,1.1942343752597903e-06,nan,nan,False,False,2,3.9224137931034484,3.9224137931034484,True,False,2,2.3404255319148937,2.3404255319148937,True,False,2,nan,nan,False,False,2,7,0.0,none,1.1942343752597903e-06,0.0,absent,,2.0,nan,nan,level1,nan
2.2218269364345415,2.8445468725857475,,5,"[0.8372093023255812, 1.9534883720930232, 1.9999999999999998, 2.0465116279069764, 2.0930232558139537]",7.460951058660189,7.460951058660189,True,False,5,0.8372093023255812,0,0,2.1556350626118075,2.1556350626118075,True,False,5,0.20088827015296346,0.7981906115878203,0.0009211182592162301,5.123701138050472,5.123701138050472,True,False,5,0.18845228548516407,0.18845228548516407,True,True,5,6.875309252845128,6.875309252845128,True,False,5,3.4724602203182395,3.4724602203182395,True,False,5,8,0.0,none,0.0009211182592162301,0.0,absent,,1.9534883720930232,0.31395348837209314,0.46322289039632775,none,1.9999999999999998
7.64164888748485,2.538006307169819,,4,"[1.6, 1.8, 2.0, 2.2]",2.0149253731343286,2.0149253731343286,True,False,4,1.6,0,0,3.7179487179487176,3.7179487179487176,True,False,4,0.9992599549384101,0.0007399648488377146,8.021275214654732e-08,2.1276595744680873,2.1276595744680873,True,False,4,4.137931034482759,4.137931034482759,True,False,4,2.8723404255319154,2.8723404255319154,True,False,4,2.8947368421052633,2.8947368421052633,True,False,4,9,0.0,none,8.021275214654732e-08,0.0,absent,,1.8,0.20000000000000004,1.050809133373904e-16,level1,2.0
