attempt_id	species_id	memory_score_k10
121	d1614d83888b5a9ac5c9000b542ac5b1bc6ea98e85647ca6fd5bfcd0524f5d2e	-4.842823647394859
122	e3a4acb1f31aac0f436e2558178ef0ad9dbf87dd99851a7db460c648c503b2ec	-0.06542484794866366
125	f307a884f2857ab00d59395da81c446dcb802253716771a9dbc77289fb4c57ca	-3.173982403690192
126	dc15f5a574a26925ae0a96c2b2c927f825a807d4998c0a518447ba12277d0c48	-0.3734142092334787
130	2cc815ca53c45f5a6a9a98d67640449479e5a2cdcdc3656a6f388191f58c50ef	-36.94530065636181
134	59edde47a5f1a94b4454652c9dd7b2538744f6460b3e2d935e4e4e60f05da1ab	-10.869356458804411
140	96a6816c16ce1c6422e9e21787e651ace4791062aae3f596f921354dd8d7cce9	-0.08162974360272002
141	970faac3631f251c10ce2cebf3245d5c047b9898b42528d9f51e39f87e4d19d2	-65.85276984462337
144	2ce85abee77e3fa51db4c3ced2ba48cef5fdae8caaec8c5cef6cbe485a8f7778	-22.45621520045188
147	ac1d0ba22ded7b85029dd6c0e4bed0bd283f4176fc3412efabb0c075ad504268	-2.7692811860444095
148	6b954f16f339f2f5530db271749b3ac7c7ff72457c169bd154ce5b2177782d2a	-0.38045940659252286
152	4d388b74a989a25d9c4febda305574f941ac1accb492e6f6891d84aaf1d60580	-1.693910182993212
159	3208067f054add28c016743b1e140a9502d930a78aba8c605dd496e2fb1a5f64	-0.02274281480597251
161	d6b62a501740b8949239ce0782af72e5341e6b4efe922142dd1ad89922b970a0	-2.2056323258189385
165	004e8ef24ff38fcd2fd42af84ab658aea0988bb0ed464c5c044091331ce2971d	-0.039316528606043066
170	70d0e528bf68d9152b9324b2cf9eaf6ec8db590946fe751e502f13c02e829292	-7.954451222896802
172	765f5c809cca364df313c016dcaddfcb2916d47d7f9af7fca23df772b694c506	-4.325701788061906
173	0fe9c2ca52c544a023ac9f9d558b6caf4ba68d072b4ba270c4dfd77f0a6cd68c	-1.85830071558909
174	adf92c3e4e46225e2a6142ebbc326e32913fc456f765475d13fc5c926e33766c	-0.8284696288608262
180	089748bfe0df587ee26c6b2054110d3c0372b38c2317ae1b049e997ad1dbcf86	-3.447574802096935
181	c607f5867249fb7e31d50bd3e897e262c73f81acab5faa839de5fa38935b0428	-0.176665319715134
183	66c6391ab31e94c5a78276948a21fcfe6a0609376ac2498961180549f6607972	-0.843285864276351
186	3de6b8769d648d1fe222b2a69225d1dc1c8b7857729bbefdcba87877d19f17d9	-1.2538016327132877
187	9e089ba42aa9552ca06fdc2686b354fb742b274432207de3923c85767fcf844b	-0.12004300907551602
189	73601738ef1f833309e2a2b4a737b4c5210b5ae70e9afb0da5cf908dcf76ae79	-0.2725010664826284
190	2d21007ec9d838c2b20b6c64927bf4b9f7386447466794b014b18cb8161bff0a	-0.7738059931083805
191	52e05c3107cfe829b2e24490cac257150d501b71898ada3e22b8d296e45db8c6	-1.471831953420434
192	b25490147a9336c51b6333a3f1ad1db3330765e4605cfaebd7a7077ab91befd7	-0.19044413626329426
193	6ad3bbc768b6158ad769f5fe8604eb86a640a383c8b79129e5a392d4c19d7df3	-11.79434258962177
195	9a4bce6dab363cea8d775a3b063079fd3afcfcff2ea1392be5c5c63593dcc9e8	-0.409084918188946
196	caba6fba5a5e5edff4739df52894c5f44731c2f05d7a44b29fc7e341b0365c08	-3.103523704114693
199	728000e0fb1b204860f0c3aafb7384ef86b2588341b8d87444ce1dbcb1ed1b15	-1.4256521855694277
200	c9d2430b505aa068a16afe7eba9796cc6434eb9a53627c983320bbd1e7a9a4ed	-1.4403125929861518
202	74ab72589dfcbebf1c6fb251a12182e9ccbeccbb954dcb886da0d041eb8c8a5d	-3.067264397694153
203	5a65583220ae70fbb2aec4994b0c192bfce60e704182ac5e7774e1ebf2f11df3	-1.0340242100611081
204	c6e70900d21ac2c201571829b47a6ff44d14fec1a389abfb7c957bfb134034ea	-2.7370463454788534
