block_id,omega_ref_proxy,dof_grade,dof_family_id,dof_family_friendly,genes_min
b729cdc15a2b323c5f7d1be74f768d72eb85843d9e7a83648cb95bd2158916cd,6.35291448053,B,a32b359eb39ba34e,a32b359eb39ba34e,{}
b7ab650536225a6dbaf552bf264a11f474777385bffb52cd2158feb090fd264c,6.24440683073,B,c9b47a3d12304628,c9b47a3d12304628,{}
b812685f01e2ba39a04f3ee828883982820d31c5a105f3156b94efba4b15dd29,6.3103859118,B,19858be63d28189f,19858be63d28189f,{}
bbbec060354811e8a3dd2cdff3e1e2b74d827d8c85ccca77e50c0dfbde25b8ad,6.3546548827,B,ab12768a8b82e5ea,ab12768a8b82e5ea,{}
be291d23c5982181d44f20e21ac18da9fbdf80fd32dc5b36e2728e36533aab60,6.35829124444,B,a32b359eb39ba34e,a32b359eb39ba34e,{}
bf79f238f25cdd2f24cfe9f087abfcf9ece59df3802e157539768d18e7d4d58a,6.21286636523,B,b2779210e3187fb5,b2779210e3187fb5,{}
c0268ecba0f3038325cc8b41eed63373d117e6d139aa72bf03d7cae471873ec4,6.22207105543,B,e96db2b239065d32,e96db2b239065d32,{}
c29475c7a94475777313266fc4b88c6bac8cb4303647305ea18ba083ec527f2f,6.2283876631,B,b2779210e3187fb5,b2779210e3187fb5,{}
c4e8d5d08e9d295fe35c29a866d845bab7e94caa412dffbac6107bd6fd2a142f,6.30261666216,B,169904b84b6e9a62,169904b84b6e9a62,{}
c7d30193d7c87330e61dc409d390b39649f2a43f1cc3bb7bcdb3aac7001b6bfd,6.22545035206,B,b2779210e3187fb5,b2779210e3187fb5,{}
c9e3f0adce4ec611a9f54ea86fb6504770903b923806cf1a3476872870f1771e,6.27830307034,B,ab12768a8b82e5ea,ab12768a8b82e5ea,{}
cadeeb9c00e0c9d688e25aca302d4f64ce20dd94441a27ef1257845034d84694,6.3472304138,B,9706bd43e57aae0f,9706bd43e57aae0f,{}
cb8aedb589e9f3cc9e2b36318d7429c19164c31a43f136395dca58dcbc43ef94,6.31005146682,B,c9b47a3d12304628,c9b47a3d12304628,{}
cc64a2561ab75d1f39c4383941678bce068f5488088516b38f956c449f05ddb2,6.34905500261,B,ab12768a8b82e5ea,ab12768a8b82e5ea,{}
cc9788048571a7c92602a71287a84595a6e198a5e1e2a3a258abcaf7f21d78dd,6.24546802151,B,ab12768a8b82e5ea,ab12768a8b82e5ea,{}
d0b55caecc513f64bc54acb4a60e6a929b092ea32027cc02166c0b3edccc9989,6.22268739012,B,b2779210e3187fb5,b2779210e3187fb5,{}
d131f918bc5b1aa5203c8740c64df09fc48faba73cdbd82e68da26ec31249ac7,6.36293518202,B,9706bd43e57aae0f,9706bd43e57aae0f,{}
dd1bd8c6dc8dce1466ad2c7997ba090e4d9e41fbd1b565563ac94cf6885ef0b0,6.22208362665,B,4b0323b0fcc663d7,4b0323b0fcc663d7,{}
dd413b5fe71b2ee1010d8ca69ecef832a184037da26c3fe32efa180e4cd094a3,6.27055058338,B,e96db2b239065d32,e96db2b239065d32,{}
de62950ad644c8517a387f812597f4d1ffea33b22e749d1c2a38afc331546d43,6.26549567518,B,9706bd43e57aae0f,9706bd43e57aae0f,{}
e368fe7c96b778302da2283c64893cb76e2338489a939ad2fca1af176047918d,6.2957319211,B,9706bd43e57aae0f,9706bd43e57aae0f,{}
e5e0058e85a774c436790dd70613571dd0bb377bfe03f061062016c23bd5a535,6.27446991144,B,ab12768a8b82e5ea,ab12768a8b82e5ea,{}
ec4eca9db699bff09eeb6fb65124a662601c4b0f0896ebb8cd8312efc8d4a157,6.28366567718,B,e96db2b239065d32,e96db2b239065d32,{}
f2cb3d516c064ca2e98f7cf193d63ca95c0f7b03415494b7ff3d5c25c4659b1b,6.15557758556,B,775f59b690500c6a,775f59b690500c6a,{}
f610014506cd689c3d657779c7f24861fb4acd3dce08b7081712db3ab2e41337,6.24901019109,B,b01dafbece991d47,b01dafbece991d47,{}
fc78935e25c279b2b892bba0d5643e338871c54cb2cf8d1dc58ce681bce0fbed,6.42885175813,B,169904b84b6e9a62,169904b84b6e9a62,{}
ff5573a185ba65f0fed824d250322a9b21bfc330a03e96f4344f90e9ab962df5,6.32001569917,B,ab12768a8b82e5ea,ab12768a8b82e5ea,{}
