entity_id,ola,template_name,node_count,edge_count,density,degree_mean,degree_std,sweep_evals_planned,sweep_evals_total,seed_evals_total,seed_success_count,sweep_passed_total,sweep_passed,is_candidate,was_swept,bins_used_count,taxonomy_kingdom,viable_state,viability_state,locked,attractor_class,dof_grade,promoted,R_network_S1_mean,PE_lockS1_norm_mean,H_part_norm_mean,E_disorder,S_topo,R_mean_lastW_mean,phase_var_lastW_mean,QualityLock_mean,seed_success_rate,robust_score_v1,robust_score_v2,runtime_sec_mean,nan_primary_rate,confirmed_family_id
f32b79c828151199434f67623f4a00b7354a9606ecc7589a608d15a704d9179b,3,ladder_3,6,7,0.4666666666666667,2.3333333333333335,0.5163977794943223,0,0,0,0,0,False,False,False,0,UNKNOWN,UNKNOWN,UNMEASURED,False,UNMEASURED,U,False,,,,,,0.26817786705888663,1.0598309673955415,0.8829521599644363,,,,,,
3f914990c6434f5bb2f7d5810154e563b647c1ed415ca6659fc76693a311dcce,3,ring_8,8,8,0.2857142857142857,2.0,0.0,0,0,0,0,0,False,False,False,0,UNKNOWN,UNKNOWN,UNMEASURED,False,UNMEASURED,U,False,,,,,,0.46007051077917516,1.063942297445081,0.8099946246563497,,,,,,
71e1b4f54a2ac78d6d93710eab9705bdf76f2381ce6f5f5a93eb1510166640d7,3,ring_7,7,7,0.3333333333333333,2.0,0.0,0,0,0,0,0,False,False,False,0,UNKNOWN,UNKNOWN,UNMEASURED,False,UNMEASURED,U,False,,,,,,0.387985125809982,1.8401392877382552,0.6430995654214217,,,,,,
dbc86d84bc1501098040b5dd2e19fab540465ea34727a2f51e896989272f4cdc,3,bipartite_3_3,6,9,0.6,3.0,0.0,0,0,0,0,0,False,False,False,0,UNKNOWN,UNKNOWN,UNMEASURED,False,UNMEASURED,U,False,,,,,,0.7740662770432227,0.4985678168712494,0.7640790898123296,,,,,,
10ae81a6b9e12493d2fa173090077ea52726dec671e640de22adc6cc0e069781,3,ring_7,7,7,0.3333333333333333,2.0,0.0,0,0,0,0,0,False,False,False,0,UNKNOWN,UNKNOWN,UNMEASURED,False,UNMEASURED,U,False,,,,,,0.6108573188689339,1.499033299158201,0.8202027544771102,,,,,,
7903d30d8c58280438964317b320a775d29d4d11868f942807e50d38c7d34f6a,3,ring_9,9,9,0.25,2.0,0.0,0,0,0,0,0,False,False,False,0,UNKNOWN,UNKNOWN,UNMEASURED,False,UNMEASURED,U,False,,,,,,0.832053109566115,0.7288301998642295,0.8418272610156601,,,,,,
d47592b5fd37dcc7e973bba1485da7b43fc0f7e0aa194added7193ca7a1832bf,3,ring_7,7,7,0.3333333333333333,2.0,0.0,0,0,0,0,0,False,False,False,0,UNKNOWN,UNKNOWN,UNMEASURED,False,UNMEASURED,U,False,,,,,,0.3199629269281029,0.5574036679872877,0.8486467069918848,,,,,,
a7e8be82d341befffa6583f9987f654770105669c40aa2e8dd6ecf3309d919e4,3,ring_6,6,6,0.4,2.0,0.0,0,0,0,0,0,False,False,False,0,UNKNOWN,UNKNOWN,UNMEASURED,False,UNMEASURED,U,False,,,,,,0.4544196657714114,1.0951735200464403,0.6653355369741698,,,,,,
d8f4142b6107afe5eceada7c89b3c4892dbb72ce23598e89ede4de9dbdd31402,3,ring_7,7,7,0.3333333333333333,2.0,0.0,0,0,0,0,0,False,False,False,0,UNKNOWN,UNKNOWN,UNMEASURED,False,UNMEASURED,U,False,,,,,,0.6308597076685357,1.8834312179739705,0.7262867651440355,,,,,,
d0f551b4f659fa5364ac4ea37ee22895f3c81607e347990d5e692d490a075c7b,3,ring_9,9,9,0.25,2.0,0.0,0,0,0,0,0,False,False,False,0,UNKNOWN,UNKNOWN,UNMEASURED,False,UNMEASURED,U,False,,,,,,0.6160477194528773,1.194702140381274,0.7671879758772552,,,,,,
65640a652403d1af702622b49bfac25384620af10ed04093f0417de2cebfd13d,3,bipartite_3_3,6,9,0.6,3.0,0.0,0,0,0,0,0,False,False,False,0,UNKNOWN,UNKNOWN,UNMEASURED,False,UNMEASURED,U,False,,,,,,0.6765279598073589,1.1029799304323555,0.7619365503479545,,,,,,
4990cb36001116eaa7a52c812de120e18a27aab4aeeb6a591682965c7076427a,3,ring_6,6,6,0.4,2.0,0.0,0,0,0,0,0,False,False,False,0,UNKNOWN,UNKNOWN,UNMEASURED,False,UNMEASURED,U,False,,,,,,0.7874374728264397,1.134719342262765,0.7710754318391715,,,,,,
