F_m_list,H_block_mean,M_final,PE_tick_norm,QualityLock,R_final,R_mean_lastW,binding_energy,binding_energy_pos,block_families,block_ids,block_particles,degree_normalized,degree_raw,edges_count,effective_degree,entropy_quality,fm_missing,mass_defect,mass_defect_pos,mass_list,memory_score_k10,nodes,origin_run_ids,phase_var_lastW,reason,run_id,status,success,sumM,target,template_name
"[1.9073662928124253, 1.0741902234199223, 1.978349528844511, 1.1642726249778714]",-9.10320147423699e-13,1.9541686192425805,0.4994308079150438,0.9992602020359412,0.27561797675109523,0.571489557425296,0.0037747160700060656,0.0037747160700060656,"[""species"", ""species"", ""species"", ""species""]","[""4ab02a711d5198bf1ad0b8810824b6c3228cad202956913ff2e7b6782244dc35"", ""f3dddd2948596ee6aaad9474c233b7d4ae9cb1c51132b1cd9809374801a1f38a"", ""910010dcb66955cf124f8cb01fdba8eb51039a0509537723c528e43bb3860e5c"", ""cb92557fc7427c6c7c8cf92e5ee10aa372b445fa2e9a072e3d13ac3f94f06e54""]","[""tetrahedron_k4"", ""bilayer_hex_3_3"", ""wheel_5"", ""bipartite_4_8""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.0037747160700061233,0.0037747160700061233,"[0.6097985251920466, 0.3434262293957827, 0.6324923689539073, 0.37222621177084986]",-0.1736233694329985,4,"[null, null, null, null]",1.8334739721914122,no_lock,10,fail,False,1.9579433353125866,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.4549467324339778, 1.311407043854877, 1.2600044043897194, 0.35287064637755705]",-9.10320147423699e-13,1.3936607352500046,0.5936425815312191,0.9507775934778833,0.6878840521116708,0.7515489073862073,0.006409765251360113,0.006409765251360113,"[""species"", ""species"", ""species"", ""species""]","[""84fd19216b2ae353a90a8ad2e2137f7104c1ed3797a33c06d08e19d723344b23"", ""90315f2aef61b6e2ce7a438484adbf6b70cdd3de945376f41052fbeb1df8679a"", ""c6724205f18aacba4022b14c1e067bf589384358bb437fef69edd45ffd60b4c2"", ""026b2ab267a80099220b0c96f5c686578b7ee9c1f6f0d0ed2f12259cc15282a1""]","[""dodecamer_chain"", ""grid_3x3"", ""dimer"", ""bilayer_square_4_4""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.006409765251360167,0.006409765251360167,"[0.46515678452249887, 0.4192661285263728, 0.4028323402944266, 0.11281524715806633]",0.7008719670656465,4,"[null, null, null, null]",1.4106950525590072,no_lock,11,fail,False,1.4000705005013647,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.1770904054131477, 0.21700343441746897, 0.6169324531377248, 2.0180044517738334]",-9.10320147423699e-13,1.2864678319867882,0.7724876284465405,0.9993114434121818,0.18221499710558797,0.38286424348321385,0.001641859033534396,0.001641859033534396,"[""species"", ""species"", ""species"", ""species""]","[""7ffa7157fd7a61f070c4cc74692a6c858e5952002652aa09a8fbcf1f74d91bcd"", ""6b69692dbe90b35ecded9db1f5f3927109b4711d07ec489cf526f0c563bdc85a"", ""651ca3f5d4453d0407b4b1c2806121eab2ce515f39a07efa92b336aac901b896"", ""be94d25ec5074a51ef02a94cef7e6f94a06d4e84cf13910c8c29690cf3688c6c""]","[""tetramer_chain"", ""octahedron"", ""square_ring"", ""truncated_tetrahedron""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.0016418590335343097,0.0016418590335343097,"[0.3763241470416582, 0.06937753632746778, 0.19723767872178327, 0.6451703289294133]",0.5977214737362035,4,"[null, null, null, null]",3.2055598121497084,no_lock,12,fail,False,1.2881096910203225,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[0.1636584843757063, 1.444331885153846, 2.008858444456749, 1.5114030228392923]",-9.10320147423699e-13,1.6336705287989381,0.6872470474147596,0.9784022635791966,0.5225747247165016,0.5225541607293385,0.005867937773505673,0.005867937773505673,"[""species"", ""species"", ""species"", ""species""]","[""ae89d6eb51bee1e02810ecca9edcc90fa490852de882c3452737dd8badfa891e"", ""7cc93feb47ca01b13c576aaf4bb74504fbe072150be840e713b7b636b90975be"", ""92b043313a2a7b1a9790e636e2f84a81e17d7eb4bb0d54f213e8a1cb98d3f070"", ""799978e0551b96113c851c4da00a482ce05473932a4a3eeae5ae04577fb80c8a""]","[""trimer_triangle"", ""square_ring"", ""bipartite_1_n"", ""grid_3x4""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.005867937773505583,0.005867937773505583,"[0.052322777635079934, 0.461763142598053, 0.6422462855538066, 0.4832062607855044]",0.33345118835056897,4,"[null, null, null, null]",2.4733674726418293,no_lock,13,fail,False,1.6395384665724437,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.1251511556624751, 0.8905344431201262, 1.1180719522181712, 1.4188550052035778]",-9.10320147423699e-13,1.4467185112387209,0.873309774253356,0.9160319303019113,0.9411753591403931,0.9415048383861793,0.008783996594063525,0.008783996594063525,"[""species"", ""species"", ""species"", ""species""]","[""628742e730feb6df105d99deeab6f79acfddb26ef028104185c80f2b03ef2df3"", ""bccead9549076ce21fea20944a258f241d67a8fdaafb09ea43c580f62ab81685"", ""845876880576a1df9d4e38acbd3fce205d6b89728bc373620ed5ca39aba674b3"", ""81a269da246f63ba8f2c7d995561bf311ba620766c0406cb5ee9a6fed7393a47""]","[""complete_k5"", ""decagon_ring"", ""bilayer_hex_3_3"", ""tetramer_chain""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.008783996594063481,0.008783996594063481,"[0.35971880069738565, 0.2847101744923086, 0.3574555291715448, 0.4536180034715453]",0.6693402056293791,4,"[null, null, null, null]",0.00043433212910513105,locked,14,ok,True,1.4555025078327843,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[0.6770981426814394, 1.3156624044816183, 1.5554513311270313, 0.9571186208032976]",-9.10320147423699e-13,1.437144542652509,0.5241331727977788,0.81202511648238,0.3959197350040762,0.4133633830540876,0.003241556337903673,0.003241556337903673,"[""species"", ""species"", ""species"", ""species""]","[""c561f03906dbbad6eb5fcc8ed0c32a88192c2435f23f77b28188b76751b56b09"", ""ca1335043dd434762d8a7e8d73429d6ca4e11b4ceffb72c62c29b3eb71bff0b1"", ""179f92413070a1d9d09f6ace6b8c50d0593181bd50e81780bca9af2859fcd17b"", ""0e21f3c29089e8f32cf036f8337ab9fea27c08d695e4d24a9372c8ab192d131f""]","[""square_ring"", ""dodecamer_chain"", ""trimer_triangle"", ""double_triangle""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.0032415563379035728,0.0032415563379035728,"[0.21647307618538297, 0.42062659748512793, 0.4972888172049437, 0.30599760811495785]",0.9177095322230778,4,"[null, null, null, null]",2.485536149177739,no_lock,15,fail,False,1.4403860989904125,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.585466884259607, 1.7189727107283965, 0.0014353156644661348, 2.221702550931203]",-9.10320147423699e-13,1.7602573381613376,0.7721998062478054,0.9991916166033801,0.5621451638127122,0.48175901989098824,0.006948361478235177,0.006948361478235177,"[""species"", ""species"", ""species"", ""species""]","[""1c6d60452c965330068aa51715de08f6b709f5438f71977b5d17ceeb62b96e47"", ""5691eea397c0ce18c765c6a256df86b91c27c30baac7d9596390e9e5eb619e8e"", ""f37052bcf4d866eac743c98fb420c7e42273a3051550d4a09615c29bc62b3dd5"", ""a2e188a436cedaea6630ec073e69bd01560da0bc7d3b370055f8b87234dcaae3""]","[""double_triangle"", ""trimer_chain"", ""dimer"", ""trimer_chain""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.006948361478235077,0.006948361478235077,"[0.5068850023226327, 0.5495677614717267, 0.0004588805929279184, 0.7102940552522852]",0.49799565394193035,4,"[null, null, null, null]",2.9630842038798026,no_lock,16,fail,False,1.7672056996395726,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.3438467128083278, 1.635623292273259, 1.3483080733893258, 1.136086820448604]",-9.10320147423699e-13,1.7358236619690104,0.8927778171705787,0.950685523872199,0.9473399880837243,0.947660130460428,0.011012679726461872,0.011012679726461872,"[""species"", ""species"", ""species"", ""species""]","[""8f9183ac8737520c31db31083b1de041d4b080240f5ec82a3af3037ec13004c1"", ""de6cbbebedfe8dd13600ee0d4004dbad971336ede82851c12c8cf417697a8929"", ""61acff3821c58ce7657a6e571c0a18a3b578f815e5bcded6e5525ff44b70f9b1"", ""a0939c3b035193e3fa8c2ed206793197d880e4335ee6565553ac7acd303a8692""]","[""hexamer_chain"", ""grid_3x4"", ""nonamer_chain"", ""honeycomb_7""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.011012679726461805,0.011012679726461805,"[0.42963732065662913, 0.5229203615249584, 0.43106364926110036, 0.36321501025278424]",0.47571457045720655,4,"[null, null, null, null]",0.00031523693981000525,locked,17,ok,True,1.7468363416954722,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.050493187889426, 1.6896198690077295, 1.3826201381363288, 1.4320541405191314]",-9.10320147423699e-13,1.7653926879473094,0.8888156881543383,0.9367375039985385,0.9027302944900546,0.9038858762293815,0.010512201291790424,0.010512201291790424,"[""species"", ""species"", ""species"", ""species""]","[""1dd8891bd18afb93c4b5a049eb14bf216e0e3bc95319daf2b26661ebeeed1f64"", ""cfc33e5b27b5a7a7e064d181bcae1b237f43f53d254c94e49b19bd21e9205011"", ""13cccdf3096b4c8f96d927f64ad825b27eb53f58b902cf2087c3b1699eb3856f"", ""080509cb7f6391c646c3b189ddff9c981ffc0f46610d903defcdd453f30ff8e9""]","[""complete_k5"", ""diatomic_prism_12"", ""hexagon_ring"", ""hexamer_chain""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.010512201291790424,0.010512201291790424,"[0.3358501191476494, 0.5401834498904071, 0.44203345960002827, 0.45783786060101506]",0.6637270243430284,4,"[null, null, null, null]",0.0003878754532099969,locked,18,ok,True,1.7759048892390998,Tetrahedron_He4_Synthesis,tetrahedron_k4
"[1.7486501688629585, 1.5204558965576465, 1.10550199343263, 1.1190968424108483]",-9.10320147423699e-13,1.7473465434342055,0.8643646111665438,0.8849571933861323,0.8299330314536397,0.8281550608778229,0.009029858547544158,0.009029858547544158,"[""species"", ""species"", ""species"", ""species""]","[""83bdadc25c30ea65dab095b0b97dd7a8fa21b1bddb11d3492c08e7d774e8a56b"", ""f580acab9ca9a6cab564666d279612afc62527e1a8ad4f9a331d0f9a97fcae13"", ""bd7d1502030257653feb360767c2e0044ca7b5cc6535bf8779a9245d5c30d9fa"", ""6b4770966506602ee0112e4681b5b9b2b229af75f271bedaacb2e9052fe2dda0""]","[""bilayer_square_4_4"", ""bowtie"", ""petersen"", ""hexagon_ring""]","[1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 3.0, 3.0]",6,"[3, 3, 3, 3]",1.0000000000009104,False,0.009029858547544123,0.009029858547544123,"[0.5590558552217846, 0.48610052868937, 0.35343682423897227, 0.3577831938316226]",0.914179039374495,4,"[null, null, null, null]",0.0003645306920401238,no_lock,19,fail,False,1.7563764019817496,Tetrahedron_He4_Synthesis,tetrahedron_k4
