entity_id,template_name,ola,lineage,genes_inherited,genes_olaX,robustness_score,taxonomy_version,taxonomy_kingdom,taxonomy_family_id,sweep_evals_total,sweep_seeds_total,sweep_attempted,H_part_norm_mean,H_part_norm_std,PE_lockS1_norm_mean,PE_lockS1_norm_std,R_network_S1_mean,R_network_S1_std,pQ_mean,pS1_mean,pS2_mean,best_eval_id,thresholds_version,attractor_class,viability_state,dof_grade,confirmed_family_id,confirmed_family_friendly,taxonomy_inputs
7b6ee4a057be42df5b9577f3057d4ab81a42868bca8c69f6b1f85af2be874390,dimer_super,3,{},{},{},,ola3_taxonomy_v1,UNKNOWN,R_mean_lastW=na|entropy_quality=na|memory_score_k10=na|phase_var_lastW=na,24,24,True,0.24506187824571282,0.057907779319055344,0.21014031004768766,0.006158275576623651,0.6940596563874702,0.030286319279816256,0.861501636977585,0.08854185685051115,0.049956498678327965,d1b14b3472fae8e6ecd1ae6e1308ceb76daa212dde9519cf142441345c6b61e7,ola3_taxonomy_v1,FUNCTIONAL_LOCK,VIABLE,,54e455aedf98e89a,dimer_super:FUNCTIONAL_LOCK:Roob_PE2_H1,R=0.694 PE=0.210 H=0.245 evals=24
5ef95b0056248540f91e3ad0298ecc692a532d9f1ecae151787913af6a0d617c,dimer_super,3,{},{},{},,ola3_taxonomy_v1,UNKNOWN,R_mean_lastW=na|entropy_quality=na|memory_score_k10=na|phase_var_lastW=na,24,24,True,0.38769797197851674,0.08173476361345326,0.21366215410076375,0.002899692921528445,0.6876643839488148,0.04443179292306828,0.7880846304883816,0.006842507834334353,0.2050728576588018,ba1af06f98f0d9f48b231873cb776b938dbbd42feebbd2988e852f6a66c68c08,ola3_taxonomy_v1,FUNCTIONAL_LOCK,VIABLE,,0ef8ccca41684a91,dimer_super:FUNCTIONAL_LOCK:Roob_PE2_H2,R=0.688 PE=0.214 H=0.388 evals=24
3081b3c3077a94a4be51598dfa164fcdf6a89600a4ec17f56873413eb421a49e,dimer_super,3,{},{},{},,ola3_taxonomy_v1,UNKNOWN,R_mean_lastW=na|entropy_quality=na|memory_score_k10=na|phase_var_lastW=na,24,24,True,0.3115606774514161,0.09729544411633108,0.24713684164901725,0.07113290252358301,0.6634424296702041,0.04039070840456833,0.8062594156264958,0.13089659225498743,0.06284398661837676,0c71476cd28b04100237ee679d8fe0e545d6078f8a858d2457f775428a6681af,ola3_taxonomy_v1,FUNCTIONAL_LOCK,VIABLE,,0ef8ccca41684a91,dimer_super:FUNCTIONAL_LOCK:Roob_PE2_H2,R=0.663 PE=0.247 H=0.312 evals=24
a236c61f1922b567c41375e30d8e99280d3c5ed3c4a102ca5a102d15b793fbd8,dimer_super,3,{},{},{},,ola3_taxonomy_v1,UNKNOWN,R_mean_lastW=na|entropy_quality=na|memory_score_k10=na|phase_var_lastW=na,24,24,True,0.4448036787039718,0.08818912861669558,0.22512677738872902,0.05997750886995771,0.6776293609312303,0.03994587507559817,0.7341682245593638,0.1277014855912977,0.1381302848028952,116ed87a004d7b85d27ef834c503602c58d5060221d8e1785b42707cd9637aa4,ola3_taxonomy_v1,FUNCTIONAL_LOCK,VIABLE,,0ef8ccca41684a91,dimer_super:FUNCTIONAL_LOCK:Roob_PE2_H2,R=0.678 PE=0.225 H=0.445 evals=24
7444ba0b110b09e34d964ba8eaa4a081fa746dd76e64829775220715f12b146c,dimer_super,3,{},{},{},,ola3_taxonomy_v1,UNKNOWN,R_mean_lastW=na|entropy_quality=na|memory_score_k10=na|phase_var_lastW=na,24,24,True,0.3751201234475073,0.10434947110221159,0.2099143909052967,0.011624436875520514,0.696908292044104,0.07253012215489126,0.8050623503395719,0.027695535390355328,0.16724210916159699,4f2856dbb545f729bfb9d69b397dc8426f027c4fc7b9fe3f2761dc47336dfafe,ola3_taxonomy_v1,FUNCTIONAL_LOCK,VIABLE,,0ef8ccca41684a91,dimer_super:FUNCTIONAL_LOCK:Roob_PE2_H2,R=0.697 PE=0.210 H=0.375 evals=24
626c09b6d585ba201e857e5835f4f46d986dce0c0eadcc590ce71936e44e770d,dimer_super,3,{},{},{},,ola3_taxonomy_v1,UNKNOWN,R_mean_lastW=na|entropy_quality=na|memory_score_k10=na|phase_var_lastW=na,24,24,True,0.2091695068546491,0.05771924626483344,0.20579234077406636,0.011099520573343877,0.6865886347169567,0.035058908890065237,0.9031979550203612,0.006433880567427558,0.09036816063409346,945c974782bd5c2a482110aaba962503842464f147fc67ff1767858a1c7217fe,ola3_taxonomy_v1,FUNCTIONAL_LOCK,VIABLE,,54e455aedf98e89a,dimer_super:FUNCTIONAL_LOCK:Roob_PE2_H1,R=0.687 PE=0.206 H=0.209 evals=24
3793ca120ea99263a318fb940d8780602d90926cf32de69f89152895ecccf267,dimer_super,3,{},{},{},,ola3_taxonomy_v1,UNKNOWN,R_mean_lastW=na|entropy_quality=na|memory_score_k10=na|phase_var_lastW=na,24,24,True,0.3526474796751416,0.07392166603799427,0.20913835964994557,0.006494327865089379,0.6780091566665458,0.059539835173259135,0.8301006063725477,0.01643678262162844,0.1534626067523888,87fc597ae801c09176cf44ddc8d63d868343e8654d85f72470f3df81f6ab8d48,ola3_taxonomy_v1,FUNCTIONAL_LOCK,VIABLE,,0ef8ccca41684a91,dimer_super:FUNCTIONAL_LOCK:Roob_PE2_H2,R=0.678 PE=0.209 H=0.353 evals=24
246dd7137442501f3251017e214f9c8d3a9be25087fe03583feb59ff03f10951,dimer_super,3,{},{},{},,ola3_taxonomy_v1,UNKNOWN,R_mean_lastW=na|entropy_quality=na|memory_score_k10=na|phase_var_lastW=na,24,24,True,0.31816806177985074,0.1077941391539329,0.2118744289417657,0.009942762606405475,0.6958429477954821,0.04542441789454672,0.8286210817493188,0.007377187128880978,0.1640017262983622,383275b3f0d6f20d0a704bb947b8fd7da5dd22cf99040ae9c74df4fbba259ee0,ola3_taxonomy_v1,FUNCTIONAL_LOCK,VIABLE,,0ef8ccca41684a91,dimer_super:FUNCTIONAL_LOCK:Roob_PE2_H2,R=0.696 PE=0.212 H=0.318 evals=24
9618176deba6baa60516dfd5cce4311a221924f658369dd8f570fab7e522e1b7,triangle_super,3,{},{},{},,ola3_taxonomy_v1,UNKNOWN,R_mean_lastW=na|entropy_quality=na|memory_score_k10=na|phase_var_lastW=na,24,24,True,0.5037074168068159,0.08444524090603567,0.2251709477811679,0.055076845054084216,0.5915507095681105,0.03425374529870451,0.698312915004502,0.12758439326564538,0.17410268867761172,b6021ffa12ac21639441f44de21c77454b1639e2c284a5e93ba4d0f79e302165,ola3_taxonomy_v1,FUNCTIONAL_LOCK,VIABLE,,0ebfbadd36ddd838,triangle_super:FUNCTIONAL_LOCK:Roob_PE2_H3,R=0.592 PE=0.225 H=0.504 evals=24
644c31af2078ea96ee691d38ad9b5623f28593fef62da757f9319a1c032c0f35,triangle_super,3,{},{},{},,ola3_taxonomy_v1,UNKNOWN,R_mean_lastW=na|entropy_quality=na|memory_score_k10=na|phase_var_lastW=na,24,24,True,0.34189621208499177,0.07212811559076138,0.20480653931864476,0.010577221749043629,0.5853768033246539,0.041226476065135,0.8370251047287596,0.018011960955027943,0.14496293217541037,8da45d1fb529313765d1f55efda5535552f4cd4a059c028cf7ebfb67a7332c9a,ola3_taxonomy_v1,FUNCTIONAL_LOCK,VIABLE,,80b9c0bd50fdcf94,triangle_super:FUNCTIONAL_LOCK:Roob_PE2_H2,R=0.585 PE=0.205 H=0.342 evals=24
9f7f3960507f35472596998ef015025ae188955284e5105a0881cd3b6879b6ee,triangle_super,3,{},{},{},,ola3_taxonomy_v1,UNKNOWN,R_mean_lastW=na|entropy_quality=na|memory_score_k10=na|phase_var_lastW=na,24,24,True,0.3265959015763537,0.0677713823117949,0.20828575358881582,0.010731756734666044,0.5976511643110274,0.04194380672461145,0.8398694844336002,0.005013678780049344,0.1551168348539068,71bf32516de6a79e27332dfc2082f4a61bf043b4ab21366002b734d4148c75d8,ola3_taxonomy_v1,FUNCTIONAL_LOCK,VIABLE,,80b9c0bd50fdcf94,triangle_super:FUNCTIONAL_LOCK:Roob_PE2_H2,R=0.598 PE=0.208 H=0.327 evals=24
