F_m_list,H_block_mean,M_final,PE_tick_norm,QualityLock,R_final,R_mean_lastW,binding_energy,binding_energy_pos,block_families,block_ids,block_particles,degree_normalized,degree_raw,edges_count,effective_degree,entropy_quality,fm_missing,mass_defect,mass_defect_pos,mass_list,memory_score_k10,nodes,origin_run_ids,phase_var_lastW,reason,run_id,status,success,sumM,target,template_name
"[1.263055355880624, 1.2602568256280597, 1.4660711749626123]",-9.10320147423699e-13,1.2674575941722306,0.8830537189193498,0.902199642896179,0.9902757228905825,0.9894722606621686,0.00797654575630365,0.00797654575630365,"[""species"", ""species"", ""species""]","[""3af215bffeeb9b661a3491f3710c4e1ad76a57b3066688e5997c4687797d9aaa"", ""7ff9692b1642468f1801b253165b1c28bc8c01dc48d96cb2b4422d37c2ab0fed"", ""312b422fa5c1e60c8fa6ceea9dfc445a19606e33a58a1842605524a88592f2a9""]","[""bipartite_2_4"", ""octamer_chain"", ""star_5""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.007976545756303688,0.007976545756303688,"[0.4038077511143603, 0.40291304115374615, 0.4687133476604279]",0.9434414302881867,3,"[null, null, null]",0.00047129215281487637,locked,10,ok,True,1.2754341399285343,Trimer_H3_Synthesis,trimer_triangle
"[1.1496623931008108, 1.3098440119833774, 1.597519868852172]",-9.10320147423699e-13,1.2894916532772582,0.9095246501452325,0.869869790240572,0.9582792786899019,0.9578089136232746,0.00756840688763634,0.00756840688763634,"[""species"", ""species"", ""species""]","[""a328cbcca29f6b58a4f3ba0fd3e7088dc2df73eadd3188ac5ca2bb3498d6e638"", ""ce987f144acfbe95c5ff0cdc6564c0943119855488a7cb0f29bf509697f47802"", ""7c9c32d493bc7afbe2d1f70b7798071bed78b0808eba6f9c5707dabf37bb07f4""]","[""hexagon_ring"", ""complete_k6"", ""grid_3x3""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.00756840688763627,0.00756840688763627,"[0.36755521706735816, 0.41876641615667204, 0.5107384269408642]",0.39872859676101,3,"[null, null, null]",0.00018995713390095557,locked,11,ok,True,1.2970600601648945,Trimer_H3_Synthesis,trimer_triangle
"[1.6346193718895246, 0.0008536163214899688, 0.6284919566992025]",-9.10320147423699e-13,0.7213211120622952,0.7273067742271209,0.9716787998541846,0.5046630856677174,0.5007040581282738,0.0024845301445270062,0.0024845301445270062,"[""species"", ""species"", ""species""]","[""16c904cebd693c9f508b46938156d6914c906e5fadfa27487e30ec03b99f6ba8"", ""ac4673c921d0ef49ca79b8ebd53eb34fc6e2938e5676138b4cc53511332586f7"", ""c8b692836de4c878c6bf6fc53372c0c20c54405847850e7e9d16006b9c058614""]","[""diatomic_prism_12"", ""double_triangle"", ""bilayer_hex_6_6""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.0024845301445269863,0.0024845301445269863,"[0.5225994010614551, 0.00027290718929341663, 0.20093333395607368]",0.5934420951396419,3,"[null, null, null]",2.8862874595303674,no_lock,12,fail,False,0.7238056422068222,Trimer_H3_Synthesis,trimer_triangle
"[0.9565537372716102, 1.3631462609746738, 1.6021469126743888]",-9.10320147423699e-13,1.2475122324286985,0.8957685853264538,0.8049517989582949,0.8959726442797779,0.8928206577698161,0.00633002708930529,0.00633002708930529,"[""species"", ""species"", ""species""]","[""a10c5a5087942d8e59c1b2257e641e7f598c38267eb5b4916a1cda3d4cb6945e"", ""80b67eb3fd50487538ce9c9cc3fa126c3729106aa3a0863fb6a6846896a95871"", ""a8fe9b49b908f82881e8b9ffa2f8dd4cbce6f9089cb208b38601beddb7ed5a63""]","[""wheel_5"", ""trimer_chain"", ""trilayer_4_4_4""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.00633002708930519,0.00633002708930519,"[0.3058170108454002, 0.43580752302051673, 0.5122177256520869]",0.5501174531068757,3,"[null, null, null]",0.0003489338892706845,no_lock,13,fail,False,1.2538422595180037,Trimer_H3_Synthesis,trimer_triangle
"[1.0398141721813192, 1.5103622629422018, 1.678986242543095]",-9.10320147423699e-13,1.3446464233136866,0.8912384988458459,0.8827342866856837,0.8913305903840265,0.8894457045135828,0.00744686540417558,0.00744686540417558,"[""species"", ""species"", ""species""]","[""78dc18fe7526252b6d23e102714b92d25c50c1e7c23baab91273985d4a55a9c5"", ""2843912de59116e11874b7f0303308c85b40425a0fbac52b0b9eadbdcd78a648"", ""a223768348358d6faf9e8b2f044e72685ef999c740140b167efa9de3278c47ea""]","[""tetrahedron_k4"", ""star_5"", ""petersen""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.007446865404175496,0.007446865404175496,"[0.3324359621218879, 0.48287352246842474, 0.5367838041275494]",0.6490842838048932,3,"[null, null, null]",0.0003074072172048011,no_lock,14,fail,False,1.352093288717862,Trimer_H3_Synthesis,trimer_triangle
"[1.409722540511671, 1.5750772597338822, 1.2428155087408945]",-9.10320147423699e-13,1.3423476239417012,0.9160226947357503,0.999251487205079,0.9785121747549249,0.9782318565963717,0.009250960039765752,0.009250960039765752,"[""species"", ""species"", ""species""]","[""6d8b14aeb8d250c29ba415b1b6fbc7ce23901a984c4ec77b0df306c4499a355f"", ""970c5eefdb78918f8d6d7ad0827f3b80ea522c4e8521c5eb094effdc4ece4ce2"", ""91292d81e245d292872fb31337e1f5122c1a76a0aaef3235e4d11e2a6e2a06b5""]","[""wheel_5"", ""trimer_triangle"", ""cube""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.009250960039765665,0.009250960039765665,"[0.45069828976921195, 0.503563365709382, 0.39733692850287294]",0.427826043057004,3,"[null, null, null]",0.0004260263162737643,locked,15,ok,True,1.3515985839814668,Trimer_H3_Synthesis,trimer_triangle
"[1.1145425221794263, 1.7069395119659228, 1.1259043879074402]",-9.10320147423699e-13,1.2544887619036176,0.9042945023708081,0.9714004219395824,0.8761575965327912,0.8828490358597214,0.007518660373725163,0.007518660373725163,"[""species"", ""species"", ""species""]","[""34d3570ed8b96c1c5baaab04ab64bc18c003ba83dcd7ec6b420d7ceb442b77d8"", ""e4bc68e8c6a12ec889154783cc0e7d677b3bdd5990313be7e6e9a4a37fa0a14e"", ""83ea8ce17c172980d02cd5a41cca2b79b1f8a9bda9cb51c54afb29c381975f4b""]","[""bipartite_4_8"", ""complete_k6"", ""bipartite_2_4""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.007518660373725172,0.007518660373725172,"[0.356327145367917, 0.5457206625236376, 0.35995961438578816]",0.4235930943919016,3,"[null, null, null]",0.00029977508491139433,no_lock,16,fail,False,1.2620074222773427,Trimer_H3_Synthesis,trimer_triangle
"[1.1088836500617465, 0.9799960706546077, 0.9018399527916569]",-9.10320147423699e-13,0.9496972002755997,0.9251562296510616,0.9716612119082987,0.9928767265797879,0.9915902039736375,0.0064570806511705684,0.0064570806511705684,"[""species"", ""species"", ""species""]","[""f1417d53771b137ddf822e8935aa1594d9cd4ee9ed4b3b7a9075c7696367f8ab"", ""668d5f6b3c1b747e74c2c0387a0f3e592f08c0ac640d2100f18fbfcf3e08939b"", ""f9770cda84dd4b6185a4c46dec60ba86d3c904fcca1740e7c47c6eeafbc3bb60""]","[""octamer_chain"", ""dodecamer_chain"", ""pentagon_ring""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.006457080651170566,0.006457080651170566,"[0.3545179638359715, 0.3133116910113865, 0.2883246260794122]",0.27116880684265676,3,"[null, null, null]",0.0003708424901284634,locked,17,ok,True,0.9561542809267702,Trimer_H3_Synthesis,trimer_triangle
"[1.135072558898922, 1.4337018314309053, 1.3714793213003738]",-9.10320147423699e-13,1.2521380099073012,0.9489897655605168,0.8770310874470342,0.9812892337820848,0.9813912912442181,0.007589034283930341,0.007589034283930341,"[""species"", ""species"", ""species""]","[""88d2fd3d44be14a0eac6c79f9125357978818e9783bf96e9c74f274979fd922c"", ""d599f58dc9974013728a8898303c30256074fabdfbed0fc353c38e6a267f7072"", ""46a118aacbae2657d7aba3cec0374a5889d43b71a8b3349c5fd5ffbd829e7caf""]","[""trimer_chain"", ""pentamer_chain"", ""wheel_5""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.007589034283930429,0.007589034283930429,"[0.36289074364521867, 0.45836463906604213, 0.4384716614799709]",0.596137504210454,3,"[null, null, null]",0.00047691335236930353,locked,18,ok,True,1.2597270441912316,Trimer_H3_Synthesis,trimer_triangle
"[1.295403297131395, 1.1364765700335837, 0.9361932919356544]",-9.10320147423699e-13,1.0696761480481896,0.9322547607848795,0.9716328602114702,0.9722763615296559,0.9745645954089855,0.007120717293323834,0.007120717293323834,"[""species"", ""species"", ""species""]","[""06986af06c0b764d2fe7d3f0f70e6cf4df8596c0c614b91ccaa5ac2e1f85aa6f"", ""621a2976071136fea717798eff2ad41aa761063b7d4f58aff7621d91454f4ef5"", ""27e507fe89d29f3cb23aa786aae703e25c343afdb27fd0505d2ee882053db881""]","[""icosahedron"", ""cube"", ""octahedron""]","[1.0, 1.0, 1.0]","[2.0, 2.0, 2.0]",3,"[2, 2, 2]",1.0000000000009104,False,0.007120717293323864,0.007120717293323864,"[0.41414961724780935, 0.36333961595804937, 0.2993076321356548]",0.5538094462368814,3,"[null, null, null]",0.00045855518610427693,locked,19,ok,True,1.0767968653415134,Trimer_H3_Synthesis,trimer_triangle
