run_id,dof_grade,dof_family_id,dof_family_friendly,omega_ref_proxy,genes_min,R_S1_Q,R_S2_S1,dominant_parity,lock_Q0_S1_0_1-1_ratio,band_count,rho_lock,lock_quality_Q,participation_entropy,dna_cluster_id
0,B,F7BDC,LOCKED_lowEnt_maxBands_S1Q_bin7_S2S1_bin3,6.148122094073261,"{""D_dyn"":0.11155847172694272,""D_stat"":0.9955566864444894,""V_layers"":1.0048934127028326,""V_lock"":29.141908968382147,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.004881478874489564,""rho_lock"":0.11106278245728635,""s2_state"":""none"",""structure_tier"":""level1""}",5.662711178644751,5.809106220501207,,0.6030530785431663,29,0.11106278245728635,0.9994715245262064,0.004881478874489564,
1,A,FCF8D,LOCKED_lowEnt_hiBands_S1Q_bin8_S2S1_bin3,9.605660385590838,"{""D_dyn"":0.4293600919061927,""D_stat"":0.9949723475829179,""V_layers"":1.0055387230513448,""V_lock"":16.088619568821517,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.0055234407285583865,""rho_lock"":0.4272014186023219,""s2_state"":""none"",""structure_tier"":""level1""}",8.06998003734204,2.4229239895937384,,0.6582642569016154,16,0.4272014186023219,0.9993918692610073,0.0055234407285583865,
10,A,FBC64,LOCKED_lowEnt_vhiBands_S1Q_bin8_S2S1_bin3,6.324821349965862,"{""D_dyn"":0.5442935560591707,""D_stat"":0.9975752274572267,""V_layers"":1.0026674362068426,""V_lock"":20.053348724136853,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.002663884912715696,""rho_lock"":0.54297376798923,""s2_state"":""none"",""structure_tier"":""level1""}",6.319123976600954,7.600654968806648,,0.6377233508255381,20,0.54297376798923,0.9997202004966501,0.002663884912715696,
100,C,F9C79,REJECTED,8.493416241734867,"{""D_dyn"":0.1176252249707997,""D_stat"":0.98304961544275,""V_layers"":1.0187963696645508,""V_lock"":30.563891089936522,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.018621900772244918,""rho_lock"":0.11563143217391161,""s2_state"":""latent"",""structure_tier"":""none""}",5.911860976360949,3.6524199586658987,,0.6235768733890685,30,0.11563143217391161,0.00023912462439213298,0.018621900772244918,
1000,C,F4244,REJECTED,6.3707146374781125,"{""D_dyn"":0.2913333493290872,""D_stat"":0.9854130802818104,""V_layers"":1.0161544641620581,""V_lock"":30.484633924861743,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.016025369256218253,""rho_lock"":0.28708369315119253,""s2_state"":""latent"",""structure_tier"":""none""}",3.4365242718319298,5.447444872211997,,0.604786526119851,30,0.28708369315119253,6.1227329452765124e-06,0.016025369256218253,
1001,B,F63EA,LOCKED_midEnt_midBands_S1Q_bin8_S2S1_bin3,12.047044891243345,"{""D_dyn"":0.40900212214815784,""D_stat"":0.9893706220627145,""V_layers"":1.0117460141670882,""V_lock"":13.152698184172147,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.011677565222799498,""rho_lock"":0.4046546840146933,""s2_state"":""latent"",""structure_tier"":""level1""}",7.648118037789571,6.979206102137693,,0.6349626525643728,13,0.4046546840146933,0.9985480249708822,0.011677565222799498,
1002,C,FEA4B,REJECTED,8.46905595319687,"{""D_dyn"":0.24406726017832833,""D_stat"":0.9998692816113723,""V_layers"":1.0001436191403426,""V_lock"":30.004308574210278,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.00014360882810124105,""rho_lock"":0.24403535609936106,""s2_state"":""structural"",""structure_tier"":""none""}",4.525126440365519,2.8804945337355994,,0.6518052299048557,30,0.24403535609936106,2.1965294312629508e-10,0.00014360882810124105,
1003,A,FDDA9,LOCKED_lowEnt_midBands_S1Q_bin8_S2S1_bin3,10.08521281993387,"{""D_dyn"":0.4871628987151031,""D_stat"":0.9956729520902404,""V_layers"":1.0047650649929691,""V_lock"":11.05241571492266,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.004753748007317493,""rho_lock"":0.4850549215125055,""s2_state"":""none"",""structure_tier"":""level1""}",9.41642409565564,2.8923770546286027,,0.6266722521548518,11,0.4850549215125055,0.9994866787633072,0.004753748007317493,
1004,A,FB312,LOCKED_lowEnt_midBands_S1Q_bin3_S2S1_bin3,6.353907168864561,"{""D_dyn"":0.17768266810618133,""D_stat"":0.9998319003302564,""V_layers"":1.0001846934166307,""V_lock"":11.002031627582937,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.00018467636290135436,""rho_lock"":0.17765279970835351,""s2_state"":""none"",""structure_tier"":""level1""}",3.2806463703389364,2.71958276092462,,0.6362799775210195,11,0.17765279970835351,0.9999852796285559,0.00018467636290135436,
1005,B,FF7AE,LOCKED_midEnt_vhiBands_S1Q_bin8_S2S1_bin3,12.613159640037882,"{""D_dyn"":0.4064331017405963,""D_stat"":0.9894254376908033,""V_layers"":1.0116850875208532,""V_lock"":20.23370175041706,""fft_peak0_freq"":null,""fft_peaks_entropy"":null,""omega_eff"":null,""participation_entropy"":0.011617344100170205,""rho_lock"":0.4021352495817203,""s2_state"":""none"",""structure_tier"":""level1""}",7.982348998899514,5.118602666016135,,0.6125124386918414,20,0.4021352495817203,0.9985424855990397,0.011617344100170205,
