run_id,accepted,reasons,band_count,lock_quality_Q,structure_tier,d_total_best,selection_config_path,selection_config_hash
511,1,,2.0,0.9997629152500833,level1,0.025798440473383928,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
259,1,,2.0,0.9995101871926239,level1,0.038022789299427706,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1168,0,dof_grade_not_a;policy_rejected,1.0,0.9974122987193746,level1,3.882055281179449,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
618,0,policy_rejected,1.0,0.9998191186429943,level1,1.2391498563085015,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1540,0,policy_rejected,2.0,0.9995302382058401,level1,0.0696363120090911,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1724,0,policy_rejected,1.0,0.9997383159695784,level1,0.4754439214455595,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
396,1,,2.0,0.9997622443401885,level1,0.5490491007377076,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1496,1,,1.0,0.9989608248995827,level1,0.08982161133927598,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
848,1,,1.0,0.9995610302342245,level1,0.9480689714425304,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1160,0,policy_rejected,1.0,0.9991978418230428,level1,0.6198186184018153,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1631,0,dof_grade_not_a,2.0,0.9999241395202121,level1,0.11725306281867381,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
702,0,policy_rejected,1.0,0.9998308352151567,level1,0.17164068361197388,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
377,1,,1.0,0.999337745930687,level1,3.129094468696842,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1609,0,policy_rejected,1.0,0.9990418906199459,level1,0.21952825386981273,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
331,1,,1.0,0.9995890810076697,level1,0.2015993329200474,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
954,1,,2.0,0.9989221486639269,level1,1.2738165498909524,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
241,0,policy_rejected,1.0,0.9997229098132938,level1,1.4269277822048354,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1357,0,dof_grade_not_a,3.0,0.9984838414836275,level1,0.43200088594283065,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1469,1,,1.0,0.9997362361841549,level1,2.3103523364823806,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1300,1,,1.0,0.9991130038223892,level1,0.22795555341852083,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1702,1,,1.0,0.9992241314510925,level1,0.42882034503931843,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
48,1,,2.0,0.9997356671901338,level1,0.024272038643199687,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1151,0,dof_missing;missing_match;unknown_particle,,,,,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1777,1,,3.0,0.9998706482008135,level1,0.06311144484442499,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1090,0,dof_grade_not_a,1.0,0.0004920021737899228,none,1.1038780823061098,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
495,1,,1.0,0.9997522564058983,level1,0.029643430672609578,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
906,0,policy_rejected,2.0,0.9992405907217761,level1,0.2543131305228984,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1105,0,policy_rejected,2.0,0.9997277813033568,level1,0.1304518717387071,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
568,1,,1.0,0.9997167288153548,level1,0.05103622096545982,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
117,0,policy_rejected,3.0,0.9992017864566702,level1,0.4325644045743562,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
1177,0,policy_rejected,2.0,0.9991413502516141,level1,0.6123583286352245,data/raw/wave1_selection.json,b1272041db1364831db88d72b114cca8f67e70416c3ea4326f99e5d53e1ea677
