run_id,best_target,best_d_total,structure_tier,s2_state,band_count_structural,band_count,lock_quality_Q,lock_quality_S1,lock_quality_S2,reasons,selection_config_path,selection_config_hash
39.0,delta_1232,9.399178646753857,level1,none,1.0,1.0,0.999008599572996,0.00011724241481305904,0.0008741580121908955,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
52.0,delta_1232,4.783023663059572,level1,none,3.0,3.0,0.9984360224011257,0.00085084637018897,0.0007131312286853576,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
19.0,delta_1232,4.1876679383914714,level1,none,2.0,2.0,0.9993784675894544,0.00035423844259298683,0.00026729396795259486,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
9.0,delta_1232,2.559758427348882,level1,none,5.0,5.0,0.9993527347493825,7.945314195019707e-05,0.0005678121086675446,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
3.0,delta_1232,7.6799999232000005,level1,none,1.0,1.0,0.9988760207448288,0.0006128436853306951,0.0005111355698402498,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
28.0,delta_1232,4.105910928090541,level1,none,3.0,3.0,0.9995792311895819,0.00010913553117507936,0.000311633279242927,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
58.0,delta_1232,4.925867011916312,level1,none,2.0,2.0,0.9991202131439207,0.00020202091354471564,0.0006777659425346112,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
43.0,delta_1232,4.448695606964416,level1,none,2.0,2.0,0.999453169404592,0.00011789909686105277,0.0004289314985469467,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
20.0,delta_1232,8.031306841206884,none,none,1.0,1.0,0.0010975855010047608,0.9982024083169957,0.0007000061819995927,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
26.0,delta_1232,9.38658375385763,level1,none,1.0,1.0,0.9993947754482889,2.3928178123218654e-05,0.0005812963735879122,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
57.0,delta_1232,5.573247540717986,level1,none,2.0,2.0,0.9997473631522611,0.00016518716039049758,8.74496873485253e-05,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
27.0,delta_1232,3.2169357840363073,level1,none,3.0,3.0,0.9996595606396191,6.126147064288271e-05,0.0002791778897380072,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
30.0,delta_1232,4.355527906182769,level1,none,2.0,2.0,0.999323403716301,8.519654590830168e-05,0.0005913997377905176,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
12.0,delta_1232,4.675571951828488,level1,none,2.0,2.0,0.9991034834218064,0.0001463050506705073,0.0007502115275230371,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
56.0,delta_1232,5.062173858589882,level1,none,4.0,4.0,0.9998732633532846,3.09304899275652e-05,9.580615678774675e-05,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
29.0,delta_1232,4.419278848051266,level1,none,5.0,5.0,0.9989277312731293,0.0005183763538820331,0.0005538923729888208,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
46.0,delta_1232,3.537140936183878,level1,none,6.0,6.0,0.9997222426246085,0.00018747227811323158,9.028509727833752e-05,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
62.0,delta_1232,7.6799999232000005,level1,latent,1.0,1.0,0.9979428941218754,0.0003567958883418455,0.0017003099897828144,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
45.0,delta_1232,2.559758427348884,level1,none,3.0,3.0,0.9996646835905375,5.665872686098951e-05,0.00027865768260157344,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
38.0,delta_1232,4.140751766130163,level1,none,5.0,5.0,0.9990467416179971,0.00032103114164888684,0.0006322272403541069,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
35.0,delta_1232,3.4029667143524085,level1,none,3.0,3.0,0.9998465943139131,3.0817907574525556e-05,0.00012258777851247067,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
61.0,delta_1232,7.6799999232000005,level1,none,1.0,1.0,0.9994738810656352,8.680356206346074e-05,0.0004393153723015927,,data/raw/wave1_selection.json,a5714066987c44ba2f5755c348b9ac8fb1f77a1effdcb7e44cb6e50d6c00465b
